,sites,1,2,3,4,5,6,7,8,9,10,11,12
0,ELPA_SUNN_in,0.950114860557301,0.9513755500360059,0.9373758648121858,0.9172359232596488,0.8984421993355248,0.8826454458764377,0.8684369176863103,0.8542762663685641,0.8394054095286344,0.8237066900217632,0.8073672739567725,0.7906354340319135
1,ELPA_SUNN_out,0.9095376480819729,0.9133712413397291,0.897797818834674,0.873357782107925,0.849676281331208,0.8292694563082552,0.8106896867792193,0.7921542458277977,0.7727485704358061,0.7523291954028212,0.7311525104315912,0.7095851335751511
2,ATLA_NASH_in,0.9467513705383636,0.9506409697340978,0.9361567333880753,0.9143651774301391,0.8949746508271017,0.8797978018604803,0.8668635213788884,0.8542023696092724,0.8408355443389682,0.8265245500955679,0.8113636634816496,0.7955153336032507
3,ATLA_NASH_out,0.8787362489174027,0.8940302478036418,0.8759707759422206,0.8461649233083055,0.8186849403907532,0.7969576699146192,0.7785875353988956,0.7607454867307546,0.7419758586570016,0.7220173361872879,0.7012045970817686,0.6800141256980095
4,CHIC_ECHI_in,0.9471008846147083,0.9487999034586391,0.9289079086559366,0.8956215850309306,0.864130008746731,0.8380211943921313,0.8146195096842815,0.7909024210650695,0.7651610122453689,0.7367487938910973,0.705558222353019,0.6716708904361023
5,CHIC_ECHI_out,0.9059074999729197,0.9139136161658984,0.8749560792577533,0.8060351824798786,0.7382601262522202,0.6805137447159412,0.6278470246572039,0.5737429269888207,0.5141407569592084,0.4472728418683646,0.37269693644879975,0.2905638897902393
6,HOUS_NASH_out,0.93561609806714,0.9389364748359225,0.922185156356028,0.8984127150924108,0.8768876352628558,0.8594513174769579,0.8443089595776774,0.8295912748202338,0.8143941600894303,0.7985774802213013,0.7823501892385162,0.7659813337867247
7,ELPA_HOUS_in,0.9027469809795323,0.9069434097615661,0.8909468915672532,0.8658805338469221,0.8414176222239427,0.8201709330699638,0.8006973631802442,0.7811746912519357,0.7606655572935616,0.7390346006114248,0.7165654559234967,0.69365699695857
8,EASH_ECHI_in,0.9060415536704316,0.9146380249124241,0.8769986164879864,0.8103207835243854,0.7447470197504586,0.6888834306135876,0.6379626472077944,0.5856896347574467,0.5281346306139183,0.46358269835371146,0.3916028936111524,0.3123417602792271
9,EASH_ECHI_out,0.9472044399743387,0.9493581795218193,0.9302347178995796,0.8981846183658921,0.8678893333164717,0.8428108831946465,0.8203874643046059,0.7977167636157283,0.7731510729476309,0.7460607993100615,0.7163360870672217,0.6840526233675368
10,EASH_WASH_in,0.9438699303865674,0.9465263442829869,0.9265020596253087,0.8928975822676084,0.8611370264669531,0.8348631492576037,0.8113849793923247,0.7876499074633684,0.761927736885524,0.733563996404029,0.7024535955502662,0.6686863300804444
11,EASH_WASH_out,0.9022378557035108,0.9106410901448498,0.8698623003215685,0.7975836383724372,0.7264852983112106,0.6658990418497884,0.6105974597424864,0.5537172398294761,0.4909938928288806,0.4205822719925514,0.3420318027010196,0.2555120368155721
