,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.843238471,0.866230099,0.865999338,0.857051356,0.842912799,0.825086164,0.805911208,0.787387552,0.770436462,0.755149307,0.74124828,0.72837157,0.716192555,0.704402545,0.692709019,0.680800578,0.6683685,0.655102758,0.640711449,0.624932887,0.607547087,0.58838611,0.567339041,0.544372688,0.099452136
1,ELPA_SUNN_out,0.779259468,0.808468637,0.807509948,0.793922345,0.77170032,0.741324304,0.705844592,0.669024263,0.633348232,0.599842372,0.568648001,0.539519274,0.512058576,0.485776621,0.460090259,0.43432295,0.407727458,0.379526375,0.348959122,0.315327265,0.278033482,0.236612831,0.190755083,0.140317143,0.209093564
2,ATLA_NASH_in,0.839807069,0.867952434,0.870183092,0.861431206,0.849184505,0.836579393,0.824963661,0.814670691,0.805557223,0.797354254,0.789827957,0.782813711,0.776194738,0.769871442,0.763740899,0.757689765,0.751595968,0.745333748,0.738778342,0.731809411,0.72431386,0.716189198,0.707347882,0.697722178,0.052772112
3,ATLA_NASH_out,0.702332512,0.740499689,0.74595912,0.738690058,0.725612292,0.707928317,0.687471554,0.666153002,0.64514171,0.624948799,0.605763725,0.58766132,0.570656936,0.554691381,0.539609726,0.525162082,0.511026016,0.496839621,0.48223463,0.466863652,0.45042033,0.432653552,0.413376896,0.392473931,0.11371909
4,CHIC_ECHI_in,0.822579541,0.852179095,0.853595646,0.840652123,0.822603638,0.80516099,0.790756667,0.779273716,0.769711164,0.761155306,0.753033994,0.745059622,0.737117787,0.729188648,0.721306638,0.713542512,0.705992553,0.698767112,0.691976248,0.685714244,0.68004677,0.675002807,0.67057246,0.666710437,0.060641438
5,CHIC_ECHI_out,0.708929325,0.778379538,0.787149392,0.76815974,0.736981139,0.704020682,0.675085512,0.651132705,0.630862367,0.612628062,0.59515368,0.57762293,0.559586246,0.540862801,0.521472646,0.501589024,0.481496244,0.461545658,0.442109405,0.423536549,0.40611668,0.390055454,0.375463844,0.362359972,0.135840671
6,HOUS_NASH_out,0.807335507,0.83560182,0.8366559,0.827270191,0.812050126,0.793270882,0.773463181,0.754547028,0.737351941,0.72192191,0.707965656,0.695129988,0.683093696,0.671568687,0.660277203,0.648936201,0.637256089,0.624949041,0.611741197,0.597384766,0.581668696,0.564427691,0.545549212,0.524978103,0.096802381
7,ELPA_HOUS_in,0.771070032,0.800574367,0.799742756,0.786371933,0.763916529,0.732666178,0.695953522,0.657845555,0.620954484,0.586302449,0.55398363,0.52371156,0.495067417,0.467555573,0.440592749,0.413502091,0.385533488,0.355904515,0.323849532,0.288667415,0.24976214,0.206674678,0.159105203,0.106924262,0.217486394
8,EASH_ECHI_in,0.711300921,0.779283425,0.787810069,0.769557293,0.739608645,0.707958331,0.680173102,0.657174224,0.637723923,0.620250834,0.60353306,0.586783117,0.569560373,0.551679809,0.533149288,0.514125769,0.494875534,0.475732162,0.457051857,0.439170675,0.422368889,0.406846999,0.392715007,0.3799938,0.130197453
9,EASH_ECHI_out,0.825274112,0.85392282,0.855256507,0.842978716,0.825902445,0.809393551,0.795711194,0.784723403,0.775484713,0.767146448,0.759187572,0.751354228,0.743551695,0.735769602,0.728044758,0.720445374,0.713062267,0.70599866,0.699356952,0.693224465,0.687661379,0.682692999,0.678307944,0.674461395,0.058703396
10,EASH_WASH_in,0.815250491,0.845533431,0.847147132,0.834475478,0.816788275,0.799703819,0.785590157,0.774310583,0.764869175,0.756366598,0.748247157,0.740238142,0.732237161,0.724233185,0.7162665,0.708411451,0.700766217,0.693441807,0.686548208,0.680179465,0.674401089,0.669242148,0.66469327,0.660710186,0.060394781
11,EASH_WASH_out,0.694061955,0.768240766,0.777884669,0.758013581,0.725015197,0.68996046,0.659080807,0.633452868,0.611740513,0.592225674,0.573574121,0.554933118,0.535833066,0.51608373,0.495702735,0.47486629,0.453866065,0.433063981,0.412844347,0.393567986,0.375533957,0.358953855,0.343939998,0.330507374,0.143330181
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.114869466
