,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.020461128,0.019168988,0.020263419,0.022702142,0.025693457,0.028728246,0.031454341,0.033751329,0.035673139,0.037296785,0.038665255,0.039820938,0.040804335,0.041643671,0.042381824,0.043027026,0.043618515,0.044180048,0.044709904,0.045237756,0.045771071,0.046322453,0.046897829,0.047498686,0.009376144
1,ELPA_SUNN_out,21.04959128,18.78347011,20.36501189,23.35871071,27.47236305,32.01148596,36.36381913,40.19416295,43.45015064,46.15651887,48.38440989,50.2289748,51.76285056,53.04110996,54.1180893,55.04574676,55.85319089,56.57922755,57.26154459,57.93257233,58.59983463,59.27927905,59.98347795,60.730851,14.2559793
2,ATLA_NASH_in,13.58274401,12.69260816,13.4736488,14.87687015,16.68459576,18.62753616,20.48794195,22.15438234,23.59479056,24.80296181,25.79711449,26.62294919,27.30149931,27.85548977,28.30766448,28.68281158,29.00323841,29.29019422,29.55087905,29.81277441,30.09487927,30.38249378,30.67672922,30.98166769,6.223695235
3,ATLA_NASH_out,20.65535473,19.39129638,20.33433464,22.18381784,24.95014894,27.95393144,30.787414,33.35142906,35.55630984,37.42977142,39.02977954,40.39018718,41.53506428,42.51068225,43.35117827,44.08540884,44.75244533,45.37610401,45.96165166,46.54408229,47.13993548,47.74196217,48.36317191,49.00119542,10.00283765
4,CHIC_ECHI_in,19.38225278,18.69177473,19.89286375,21.55546123,23.03727992,24.18865818,25.05026949,25.69343744,26.20550192,26.63600646,27.0127382,27.35986037,27.69328883,28.0290752,28.37401888,28.73228439,29.1058269,29.49261135,29.8987585,30.32333686,30.76478663,31.22067636,31.68874173,32.16253903,3.917416456
5,CHIC_ECHI_out,13.84253025,12.82489258,13.71407846,15.13202234,16.28317051,17.0179787,17.47524882,17.79447551,18.06613967,18.3402288,18.63490929,18.95979685,19.31523815,19.70213613,20.11747489,20.56297725,21.0296143,21.51619446,22.02267217,22.53897412,23.06280057,23.59005234,24.11799067,24.64037057,3.332126741
6,HOUS_NASH_out,30.13415409,27.65431627,30.36457791,34.50775956,39.65846551,44.82618412,49.42113375,53.35176403,56.69303565,59.48490301,61.79878929,63.71670576,65.32445537,66.65760662,67.75430144,68.69678398,69.53127233,70.27704465,70.96139586,71.61622967,72.2661033,72.91478529,73.57471919,74.26990457,15.57196218
7,ELPA_HOUS_in,24.19267245,21.83647879,23.83947593,27.37813009,32.20351468,37.32662828,42.11053548,46.26970414,49.73354332,52.56714913,54.88135882,56.77305918,58.33579566,59.61934419,60.67198933,61.53689482,62.26799919,62.95605425,63.62261084,64.26674798,64.91445953,65.58487992,66.30139027,67.06114096,15.31565806
8,EASH_ECHI_in,11.2099724,9.925567151,10.36986767,11.34368542,12.10324492,12.52332734,12.74171726,12.89552417,13.05818845,13.26456501,13.51731069,13.82066746,14.17052092,14.56157373,14.99207936,15.45809845,15.94323498,16.45037998,16.97239918,17.50234646,18.03886738,18.57700507,19.10917583,19.63378062,2.783104685
9,EASH_ECHI_out,12.47893125,11.43442158,11.61312221,12.24776012,12.79508847,13.17435078,13.44273792,13.65378818,13.84512148,14.04615643,14.25749191,14.48055635,14.71444387,14.96540445,15.23243277,15.51754961,15.81879914,16.14250333,16.48581105,16.84686089,17.22708818,17.62073183,18.02314222,18.42447524,2.011267073
10,EASH_WASH_in,15.38092965,14.47507355,14.98069464,15.97480528,16.86677043,17.51865148,17.98408956,18.34562975,18.64344357,18.90615695,19.15232015,19.38608976,19.61766637,19.85389284,20.10288947,20.36497942,20.64020508,20.94053042,21.26381428,21.61407396,21.97608446,22.34842876,22.7360777,23.12368085,2.462140339
11,EASH_WASH_out,12.42092109,11.21000213,11.71508478,12.72865041,13.51322989,13.94995925,14.19600861,14.36757794,14.54662706,14.7600935,15.01217675,15.30633285,15.64316508,16.02027444,16.43339741,16.87726587,17.34146792,17.82251646,18.31914956,18.82481833,19.33622987,19.85017429,20.36198962,20.86588185,2.751871088
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,6.55311958
