,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.881517151,0.891292174,0.887165155,0.873567995,0.856424806,0.838312279,0.820597114,0.804071853,0.789110528,0.775800458,0.764068691,0.753761152,0.744686504,0.736632695,0.729383109,0.722720383,0.716439463,0.710359076,0.704326596,0.698217229,0.691950214,0.685463971,0.678738152,0.671759337,0.072467493
1,ELPA_SUNN_out,0.732637797,0.743830534,0.741923206,0.727248612,0.705842316,0.679307421,0.649379278,0.618313648,0.588072288,0.559923165,0.534478236,0.511878634,0.49197081,0.474432021,0.458852544,0.444790641,0.431811966,0.419518159,0.407566233,0.39567942,0.383650202,0.37133729,0.358658019,0.34557875,0.137057194
2,ATLA_NASH_in,0.866637658,0.880433945,0.877381372,0.865806053,0.853518128,0.842617019,0.83288676,0.82390981,0.815557561,0.807867818,0.800888656,0.794610712,0.788961923,0.783826491,0.779067526,0.774545951,0.770134273,0.765725403,0.761237234,0.756613694,0.751822877,0.746853596,0.741710684,0.736410234,0.045391452
3,ATLA_NASH_out,0.72806326,0.750014516,0.754101668,0.744650265,0.727944194,0.706861653,0.683389776,0.659167313,0.635423393,0.612928103,0.592049556,0.572859846,0.555240217,0.538963707,0.523752998,0.509319625,0.495390619,0.481725983,0.468129085,0.45445071,0.440588298,0.426481471,0.412105601,0.39746395,0.119328132
4,CHIC_ECHI_in,0.848730509,0.87200853,0.862718681,0.842697099,0.82578871,0.81509845,0.808644607,0.803946814,0.799451635,0.794438354,0.788653171,0.782051203,0.774665171,0.766549807,0.757762681,0.748360752,0.738402327,0.727950039,0.717072329,0.705843186,0.694340054,0.68264051,0.670818673,0.658941581,0.061182567
5,CHIC_ECHI_out,0.725655045,0.776845602,0.754186558,0.709460019,0.672239032,0.64957588,0.636956046,0.628391669,0.619928492,0.609617971,0.596716352,0.581065678,0.562757715,0.541979384,0.518948868,0.493892913,0.467040904,0.438624529,0.408878188,0.378037027,0.346332948,0.313988364,0.281209538,0.248180174,0.151920668
6,HOUS_NASH_out,0.854791155,0.867035728,0.862635486,0.847251189,0.8283894,0.809347369,0.791421964,0.775078328,0.760420878,0.747389942,0.735852355,0.725640771,0.716569064,0.708438865,0.701045476,0.694186108,0.687669709,0.681326489,0.675014973,0.668625642,0.66208116,0.655333956,0.648361852,0.641163045,0.073752051
7,ELPA_HOUS_in,0.731220032,0.742704247,0.74085251,0.725974724,0.703924029,0.676735974,0.646518308,0.615583158,0.585755944,0.558137489,0.533217552,0.511070886,0.491518874,0.474237745,0.458827822,0.44486096,0.431916138,0.419606757,0.407599741,0.395626464,0.383486273,0.371043363,0.35821977,0.344985535,0.136369591
8,EASH_ECHI_in,0.728054935,0.779020971,0.757459427,0.714166578,0.677850996,0.655500405,0.642879998,0.63425908,0.625823614,0.61567673,0.603080033,0.587861935,0.570094604,0.549944907,0.527612856,0.503309255,0.47724988,0.449655025,0.420749524,0.390760694,0.359914013,0.328426811,0.296501496,0.264319162,0.147913937
9,EASH_ECHI_out,0.850603784,0.873803182,0.865104193,0.845862682,0.829370112,0.818733241,0.812160045,0.807312975,0.80270095,0.797617521,0.791804239,0.785207338,0.77785168,0.769786449,0.76106577,0.751744627,0.741880184,0.731534188,0.720774289,0.709673447,0.698307896,0.686753926,0.675084251,0.663364677,0.060653752
10,EASH_WASH_in,0.842633262,0.867105698,0.858163289,0.838168313,0.8209341,0.809766733,0.802855134,0.797779843,0.792983603,0.78772379,0.781726639,0.774933639,0.767369207,0.759083419,0.750131567,0.740569811,0.730456485,0.719854533,0.708832857,0.697465728,0.685830707,0.674005339,0.662063493,0.650071966,0.06251829
11,EASH_WASH_out,0.710720609,0.765024597,0.741486313,0.694669622,0.655906303,0.63252444,0.619658803,0.61098313,0.602367864,0.591804183,0.578539507,0.562422583,0.543553301,0.522124267,0.498357299,0.472481672,0.444729539,0.415336452,0.384542133,0.352588721,0.31971635,0.286156608,0.25212527,0.217815342,0.156959571
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.102126225
