,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,3.260171737827675e+29,2.991202392712809e+29,3.1047613823443794e+29,3.478900561781828e+29,3.9506122078327314e+29,4.448996150067377e+29,4.936446294072715e+29,5.391155040944488e+29,5.8028305576129836e+29,6.1690702002084246e+29,6.491881259054356e+29,6.775503292509751e+29,7.025201134067509e+29,7.24680958986544e+29,7.446289042265866e+29,7.629620503513818e+29,7.802446169333946e+29,7.96975396018364e+29,8.135743585895836e+29,8.303848789244782e+29,8.476291863666052e+29,8.65476719186095e+29,8.839834707663983e+29,9.031863630486397e+29
1,ELPA_SUNN_out,3.595321935624133e+18,3.444808907697765e+18,3.4704574820960113e+18,3.667792373385426e+18,3.955651034652472e+18,4.312475919814845e+18,4.714931130509139e+18,5.13268254485175e+18,5.539349693815888e+18,5.917881733451615e+18,6.260049435866583e+18,6.563954948323107e+18,6.831663074910766e+18,7.067513882699891e+18,7.277017078272517e+18,7.466112882561012e+18,7.640642091143736e+18,7.805961617244928e+18,7.966683741916324e+18,8.126530278852202e+18,8.288291779097486e+18,8.453868220601667e+18,8.624371225062684e+18,8.800253172908997e+18
2,ATLA_NASH_in,4.290386366614626e+18,3.8465474317207946e+18,3.9447514421201306e+18,4.3171398538083343e+18,4.712453433542647e+18,5.063151904947999e+18,5.376183070562688e+18,5.664979613796714e+18,5.933678971392327e+18,6.181064915681775e+18,6.405590830464746e+18,6.607557925850108e+18,6.789284551347278e+18,6.954496026266223e+18,7.107596205711903e+18,7.253059308404316e+18,7.394986972315759e+18,7.536824287893164e+18,7.681212697352832e+18,7.829956140880052e+18,7.984081022992988e+18,8.143947271695958e+18,8.309399370099552e+18,8.479919591781924e+18
3,ATLA_NASH_out,2.766143976564006e+18,2.5428555208520197e+18,2.5012809629210706e+18,2.5974207485641206e+18,2.7673551127610025e+18,2.9818069924738924e+18,3.2205632222938737e+18,3.4669544254734607e+18,3.7084778781621484e+18,3.937300252671148e+18,4.1496770989893765e+18,4.34487507013907e+18,4.5241021645062415e+18,4.689667028602032e+18,4.84439055624065e+18,4.991207011609949e+18,5.13289303343246e+18,5.271889891328197e+18,5.41019770725961e+18,5.549334313177679e+18,5.69034294518816e+18,5.833837768241862e+18,5.980069294542498e+18,6.129004363110684e+18
4,CHIC_ECHI_in,1.4215587208528546e+19,1.2028029581303052e+19,1.290104535684084e+19,1.4782578412274543e+19,1.6371548413737595e+19,1.737616817045095e+19,1.7982669682547323e+19,1.8424145931713114e+19,1.884658146517607e+19,1.931770578398368e+19,1.986136969868288e+19,2.048179126880321e+19,2.1175895384803488e+19,2.1938538710638916e+19,2.2764311031508357e+19,2.364785963822423e+19,2.458370499632804e+19,2.5565961344872333e+19,2.6588196771538924e+19,2.7643458192159166e+19,2.872446789529609e+19,2.9823935331256054e+19,3.0934895368416797e+19,3.205104798071643e+19
5,CHIC_ECHI_out,1.0710551172606767e+19,8.712048658699675e+18,9.596667972481628e+18,1.1342812286515829e+19,1.279593644875059e+19,1.3680716167262716e+19,1.4173400211755418e+19,1.450775736109465e+19,1.4838163623949271e+19,1.5240691024476185e+19,1.5744376080179399e+19,1.6355385463171109e+19,1.707013659926624e+19,1.7881332035769494e+19,1.878045381626114e+19,1.9758649655479087e+19,2.0806964200358867e+19,2.191635234693469e+19,2.307766296973078e+19,2.4281715827347677e+19,2.55194574309695e+19,2.6782204599990792e+19,2.8061904821999935e+19,2.935138613121807e+19
6,HOUS_NASH_out,1.9940391264458355e+18,1.8258940252289285e+18,1.886319096267232e+18,2.0975795738752215e+18,2.3565937121856707e+18,2.6180829944604027e+18,2.8642385127880806e+18,3.088672847743315e+18,3.2899520955004365e+18,3.4688957265583176e+18,3.627332345364004e+18,3.767560023003355e+18,3.8921346535736806e+18,4.003780301068967e+18,4.1053079059252255e+18,4.199502234477287e+18,4.2889868281320586e+18,4.376093292686596e+18,4.46276437715542e+18,4.550504048552759e+18,4.640374284853034e+18,4.733028344600296e+18,4.828770787344852e+18,4.927626350385822e+18
7,ELPA_HOUS_in,3.737360855766134e+18,3.577673903178161e+18,3.6034221365907487e+18,3.810296383684191e+18,4.116909291386316e+18,4.494956707474856e+18,4.915130585498569e+18,5.3452810090175e+18,5.760025691259119e+18,6.14405777933802e+18,6.490567223109943e+18,6.798514598410734e+18,7.070383529906071e+18,7.310676052234872e+18,7.524949621138002e+18,7.719157551204678e+18,7.899154115757713e+18,8.070314933603162e+18,8.237271401066763e+18,8.403758717729218e+18,8.572566956978736e+18,8.745584492329714e+18,8.923895374634536e+18,9.107916206880983e+18
8,EASH_ECHI_in,1.2868108236890552e+19,1.0456457695041337e+19,1.1476723593335366e+19,1.3525288326916223e+19,1.524369729670791e+19,1.6301299950641512e+19,1.6898482168384485e+19,1.7306413501972732e+19,1.770556944513664e+19,1.8185707613364836e+19,1.8781767915514053e+19,1.9501869699989877e+19,2.0342598087927116e+19,2.129605715501694e+19,2.2352782545786982e+19,2.3502799214089855e+19,2.473589702652214e+19,2.604165184623928e+19,2.7409424846138618e+19,2.8828459642351735e+19,3.02880868959545e+19,3.1778022825735504e+19,3.3288689717388247e+19,3.4811518475737776e+19
9,EASH_ECHI_out,7.757596298222577e+18,6.552936832278311e+18,7.004643359645978e+18,8.003784279250438e+18,8.860182857067632e+18,9.412516432493707e+18,9.75383834830919e+18,1.0005528879672234e+19,1.024501438929503e+19,1.050897818756613e+19,1.0810840501827709e+19,1.1153393352567063e+19,1.1535345603103877e+19,1.1954143416061432e+19,1.240697621877089e+19,1.2890988906608157e+19,1.3403213155004658e+19,1.3940442732697133e+19,1.4499164716342772e+19,1.5075590624209037e+19,1.5665761923190493e+19,1.6265717098829484e+19,1.687168045546314e+19,1.7480234822183213e+19
10,EASH_WASH_in,1.1164003837665059e+19,9.427865858622044e+18,1.0062263507998335e+19,1.1480758903615367e+19,1.2703398624097757e+19,1.3495640530400612e+19,1.3985967291158725e+19,1.4346021550510328e+19,1.4686279238242583e+19,1.5059423971450296e+19,1.5484877423683217e+19,1.5966790378202687e+19,1.6503430830892263e+19,1.7091246087227988e+19,1.77263135908409e+19,1.840464938100017e+19,1.9122114856943067e+19,1.987424478565429e+19,2.0656151018935894e+19,2.146256458389803e+19,2.228798315449797e+19,2.312690532748009e+19,2.397409079590542e+19,2.4824800830919668e+19
11,EASH_WASH_out,1.0115601528116048e+19,8.216684691533766e+18,9.039777878823437e+18,1.067687683924588e+19,1.2032363270566834e+19,1.2849986710869547e+19,1.3299875848365914e+19,1.3603249188195707e+19,1.390451017489134e+19,1.4273903900045726e+19,1.473774672727315e+19,1.530132776842664e+19,1.596115403580583e+19,1.6710490420646722e+19,1.7541580302824411e+19,1.8446406366662642e+19,1.9416850587382112e+19,2.044467617309475e+19,2.1521500421312094e+19,2.263885613227416e+19,2.378834627931595e+19,2.4961872574162747e+19,2.6151889801458463e+19,2.7351648808266654e+19
