,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,2.787688045292349e+29,2.3117944043654783e+29,2.529704840775767e+29,3.059183851267356e+29,3.645106649088732e+29,4.171293049950036e+29,4.613492385393074e+29,4.977773166000719e+29,5.273457406514684e+29,5.510225684598508e+29,5.699565955901283e+29,5.8539740641457156e+29,5.985100388104789e+29,6.10308809003578e+29,6.215764031710855e+29,6.329036343112623e+29,6.447035048759244e+29,6.57221569119493e+29,6.706074867676398e+29,6.848878150202878e+29,7.000326975928464e+29,7.159740576965654e+29,7.326012355358196e+29,7.497842740758068e+29
1,ELPA_SUNN_out,2.2238866815592e+18,1.8906805643443008e+18,2.0203028620262546e+18,2.3698467638313933e+18,2.778696612445758e+18,3.163512820053202e+18,3.4992074381961385e+18,3.784450998334589e+18,4.024008268005515e+18,4.225018850329596e+18,4.3960397530737833e+18,4.5456030219328553e+18,4.680966049233688e+18,4.807639469133416e+18,4.929558751446404e+18,5.049495115106302e+18,5.169425308345231e+18,5.290758466798178e+18,5.414453171231934e+18,5.541080792926924e+18,5.670883271172284e+18,5.803836770149318e+18,5.939717413231485e+18,6.078157324984077e+18
2,ATLA_NASH_in,3.573575041690907e+18,2.90814902395489e+18,3.033105304168526e+18,3.518175307163745e+18,4.0510245317341307e+18,4.5150084236414484e+18,4.893540431066246e+18,5.200151102489132e+18,5.449607223020885e+18,5.65307941271886e+18,5.81963565751964e+18,5.957528624181934e+18,6.074496414612958e+18,6.177584064274642e+18,6.272893785855942e+18,6.365402209640074e+18,6.458893786878108e+18,6.555980892047674e+18,6.658210746713944e+18,6.766245608707587e+18,6.880068703548701e+18,6.99920587996598e+18,7.122923662045793e+18,7.25038775607577e+18
3,ATLA_NASH_out,2.3041136463640202e+18,1.8832154089914578e+18,1.8582096945671713e+18,2.0171833084611443e+18,2.236099930820313e+18,2.455728625334688e+18,2.656744054094909e+18,2.8344370860208184e+18,2.987880132350082e+18,3.1185622930971085e+18,3.2301955593361454e+18,3.327628524110516e+18,3.4156192018770324e+18,3.4981096386538476e+18,3.5780287667678147e+18,3.6573961910835564e+18,3.7375141026501734e+18,3.819146725594233e+18,3.90266132605913e+18,3.9881450281891656e+18,4.075502719339536e+18,4.1645452012557875e+18,4.2550560281107436e+18,4.346837071188944e+18
4,CHIC_ECHI_in,1.0668497904783297e+19,8.951582816381791e+18,9.417193391761947e+18,1.1018643519263865e+19,1.255378028266628e+19,1.3744420525952813e+19,1.4700529260412967e+19,1.5553265024743893e+19,1.6364360150997375e+19,1.7145862814225465e+19,1.789017349013647e+19,1.8587900955471987e+19,1.9235038859524313e+19,1.9834022696804483e+19,2.0392043294921765e+19,2.0918662736850506e+19,2.1423759244316074e+19,2.1916163188350222e+19,2.240300485461151e+19,2.2889613348538626e+19,2.3379744837115097e+19,2.3875958807679214e+19,2.4380000292552282e+19,2.4893114966211625e+19
5,CHIC_ECHI_out,7.725836543339639e+18,6.48401039978334e+18,6.957540894419146e+18,8.332294645356294e+18,9.597273895171406e+18,1.0529226630141073e+19,1.1239251964103776e+19,1.1859483539027876e+19,1.2461099580425796e+19,1.30684332390447e+19,1.3684219006102137e+19,1.4305207623311264e+19,1.4928916124086247e+19,1.5555292298716811e+19,1.6186107697434898e+19,1.6823727592679547e+19,1.7470059128415687e+19,1.8125987747532544e+19,1.8791289098476982e+19,1.9464874956214063e+19,2.0145213897336795e+19,2.0830771370688795e+19,2.152035028466219e+19,2.221330668750271e+19
6,HOUS_NASH_out,1.7345333060368796e+18,1.4501852219933343e+18,1.5686127576990395e+18,1.862765647963851e+18,2.1841624274569843e+18,2.465344323062624e+18,2.6930808412565555e+18,2.8734776522855603e+18,3.0151283322682163e+18,3.125775088412115e+18,3.212517178696769e+18,3.281868433355912e+18,3.3394965213097426e+18,3.3900396304274273e+18,3.437112519304625e+18,3.4834290381143163e+18,3.5309487358596475e+18,3.5810019306974244e+18,3.634392417132559e+18,3.691490147938555e+18,3.7523225380150605e+18,3.816662465372062e+18,3.8841107285127173e+18,3.9541630632792294e+18
7,ELPA_HOUS_in,2.4242734804528824e+18,2.0753958478562378e+18,2.2154785035575311e+18,2.5853380586403195e+18,3.016461358964884e+18,3.4212855421473434e+18,3.774168517680725e+18,4.0739882418786104e+18,4.3256360329131725e+18,4.53653371556391e+18,4.715737945595494e+18,4.872315695468387e+18,5.013923464400742e+18,5.146294388643338e+18,5.273458035869766e+18,5.398226117626867e+18,5.522618235253708e+18,5.64811417880162e+18,5.775768661529869e+18,5.906262559857852e+18,6.039944406033835e+18,6.176879531597798e+18,6.316904994319434e+18,6.459683239163909e+18
8,EASH_ECHI_in,9.32442100390514e+18,7.805241101537572e+18,8.342011088508989e+18,9.94724677445272e+18,1.143321189484577e+19,1.2534043603286847e+19,1.3374842812614113e+19,1.4107368466755277e+19,1.4813950497541728e+19,1.5523180229465045e+19,1.6238866991085113e+19,1.6957980480170447e+19,1.7678377656788339e+19,1.8400669318968947e+19,1.9127481383195886e+19,1.9862002556092543e+19,2.060677598515894e+19,2.1363044940993843e+19,2.2130662651826794e+19,2.290841272620139e+19,2.3694500821673095e+19,2.448708947410628e+19,2.5284716477337256e+19,2.608655065289388e+19
9,EASH_ECHI_out,5.859934720095385e+18,4.895529956165851e+18,5.123952356277857e+18,5.968811834869764e+18,6.789715634378812e+18,7.433090414119129e+18,7.951874795916594e+18,8.412855593096979e+18,8.848074141811267e+18,9.264343187595092e+18,9.658475898896515e+18,1.002635060552016e+19,1.0366531540934048e+19,1.068077067008952e+19,1.0973132065287797e+19,1.1248782122161506e+19,1.1512948365324696e+19,1.177024703842881e+19,1.2024376165731619e+19,1.227807224049075e+19,1.253324856183325e+19,1.2791198538781465e+19,1.3052799948277678e+19,1.3318680246353277e+19
10,EASH_WASH_in,8.488162122173414e+18,7.0774953220512e+18,7.380750556997663e+18,8.568635392707785e+18,9.726716574375387e+18,1.0631897777863404e+19,1.135747530663063e+19,1.1998846770263245e+19,1.2602763957311293e+19,1.3179948707237968e+19,1.3726529717897196e+19,1.4236965296202994e+19,1.4709287789307881e+19,1.514592008355603e+19,1.5552480929614113e+19,1.593611346798273e+19,1.6304043631252271e+19,1.6662635195917441e+19,1.7016972554404049e+19,1.7370804754657174e+19,1.7726746040627567e+19,1.8086554225849092e+19,1.845142677554428e+19,1.882222359692511e+19
11,EASH_WASH_out,7.21250259785474e+18,6.04177737508667e+18,6.479848585684363e+18,7.767531542527327e+18,8.951868820708519e+18,9.82507096000257e+18,1.0493022922021226e+19,1.1079824875384654e+19,1.16516287318675e+19,1.2230435459083526e+19,1.2817978492297775e+19,1.3410450315069733e+19,1.4004891193361801e+19,1.4600788342356349e+19,1.5199522570012785e+19,1.5803195153941391e+19,1.6413615367834894e+19,1.703173195355425e+19,1.7657512572170099e+19,1.8290148887556336e+19,1.892843087412258e+19,1.9571134137074373e+19,2.0217342908322128e+19,2.0866642809878622e+19
