,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,435922788741551.94,412257120460925.4,441830606002684.0,481762286200700.44,513952194387388.06,536728578541715.1,553596636923169.5,567454124146300.1,579773770356675.2,591131999745886.8,601690741495514.1,611472055554943.9,620504183121579.5,628858938078592.2,636648701045167.0,644003065273437.0,651070615590040.4,657989925585344.4,664889919860637.0,671868606177775.1,679001777405975.1,686345538843690.2,693920610949991.2,701737545459010.0
1,ELPA_SUNN_out,1372791558.9370213,1265373070.5538485,1326671115.5461848,1428258809.350385,1517762105.9350557,1586056063.0082147,1639491438.6285422,1684463796.4405823,1724237442.5419226,1759818056.2001252,1791243581.8642664,1818457625.95585,1841691766.3014634,1861499289.6431468,1878630778.323069,1893889765.1533542,1908028861.9316187,1921691795.8546305,1935389827.1895914,1949499533.9899075,1964273534.5047367,1979858437.1123576,1996316239.5288055,2013645149.8867965
2,ATLA_NASH_in,1586254790.927661,1443251102.4725196,1516217683.1889796,1641465743.278442,1745702455.1275947,1821218577.0004914,1879025493.9006393,1927942460.2987218,1972423659.4629252,2014218187.3075337,2053697715.6657689,2090709092.1309552,2125100692.131662,2156963394.5260787,2186662242.022863,2214758765.8357983,2241904831.54425,2268747748.2044153,2295862923.3466387,2323713832.291043,2352635545.177021,2382834936.3400993,2414404394.097558,2447341575.6598268
3,ATLA_NASH_out,1405768068.3323889,1275443660.3053691,1289546423.7254548,1344393617.0569482,1397101242.2411532,1437312590.878716,1467839093.4065106,1492900870.3577478,1515101599.3911483,1535640679.9855626,1554956872.920875,1573186373.814653,1590406709.208795,1606730783.3911855,1622320914.124807,1637372762.7296896,1652092645.1902242,1666676904.8166955,1681295124.544166,1696079291.3362176,1711119704.3084588,1726467707.0282645,1742141833.1332586,1758136338.9734023
4,CHIC_ECHI_in,3113828803.5792203,2880335480.2054534,3062752046.710052,3369526942.957642,3628259022.6729684,3822835964.294325,3985341286.6781836,4138899082.6105886,4291919852.825153,4444521363.956614,4593771022.600032,4736617335.690453,4871226203.971673,4997304937.246919,5115859735.960377,5228726577.073939,5338092429.512573,5446112448.481882,5554654088.352804,5665160702.5901165,5778606107.468453,5895517137.057623,6016033692.013005,6139988553.373678
5,CHIC_ECHI_out,2603725029.9045978,2338644025.949804,2442720994.6488276,2647982382.5749593,2809387309.73969,2920448569.91227,3013820219.9605994,3110960292.6811123,3219119776.954868,3337945971.4629083,3464102439.5921774,3593804862.155145,3724139211.460557,3853534660.9607463,3981668371.258944,4109093492.879203,4236811660.4457636,4365918277.270737,4497359545.076402,4631802839.316446,4769591167.964067,4910759614.067936,5055084144.552644,5202146501.58058
6,HOUS_NASH_out,1169962398.8940206,1090488088.7166877,1153812661.3630924,1247448173.687796,1324193173.9423275,1378259531.5794334,1417637481.285115,1449571703.7033942,1478051226.6272671,1504782321.8516948,1530291401.7348115,1554620349.8109062,1577691116.462483,1599461809.1891282,1619973676.92197,1639349993.014787,1657777439.8229876,1675480257.915998,1692693412.6342301,1709638181.1287894,1726505099.3059912,1743443798.7450716,1760561659.5955048,1777926154.2349596
7,ELPA_HOUS_in,1440117342.2687995,1331782355.481823,1392769347.0040255,1494459791.300552,1583588520.1653798,1650886864.432283,1703088172.3663592,1746931327.779539,1785828384.627259,1820822562.0608654,1851953038.7715006,1879142306.5702417,1902572071.6512384,1922718271.505888,1940240996.9443476,1955859290.5853133,1970261189.607549,1984052419.447974,1997731866.707795,2011683835.2682624,2026181965.6161866,2041401063.5939026,2057433374.0650892,2074306440.837974
8,EASH_ECHI_in,2863798948.966501,2572286882.0111156,2678733716.374333,2894834718.059788,3066223393.693424,3185063035.796319,3285223192.614964,3389070343.6681314,3504252348.194259,3630550708.091784,3764623715.708548,3902606766.575383,4041490251.4071417,4179634220.6447644,4316690539.422987,4453223981.796751,4590271278.864936,4728969291.606253,4870299705.971117,5014951383.698923,5163272613.420493,5315286665.99128,5470743545.378411,5629188605.157951
9,EASH_ECHI_out,2309162928.4735813,2137183178.0977628,2265895124.8636293,2484909985.9413037,2671325214.3077207,2812748552.8377953,2931226935.0587063,3042851542.003295,3153570630.548577,3263593658.694488,3370995994.354352,3473740270.8248034,3570609731.0018764,3661443866.698317,3746977242.78502,3828518463.4299083,3907618080.493297,3985800801.2277217,4064386547.5314717,4144394345.7570486,4226511597.1520896,4311108364.019215,4398281251.367237,4487909453.729624
10,EASH_WASH_in,2780097101.4939833,2570867681.811191,2720018461.91333,2976465592.0022655,3194474836.2276645,3359235637.439743,3496907648.8784056,3626677275.880245,3755688238.407925,3884238600.7071505,4010059523.1280746,4130716851.784691,4244727326.087315,4351847115.919522,4452891598.578089,4549360022.424618,4643046080.379151,4735723833.067164,4828934054.368548,4923869682.225416,5021336889.397196,5121771568.59395,5225287595.322924,5331742700.927756
11,EASH_WASH_out,2508843112.101426,2248754643.795544,2347640124.17095,2546682147.651716,2703266094.1112275,2810779089.146278,2901221193.998818,2995623429.5081215,3101059440.7910376,3217118642.8030024,3340446827.8109875,3467251405.152112,3594609259.4624844,3720937281.6549907,3845895850.2614164,3970020747.7439322,4094298030.0944104,4219812035.9518127,4347504735.8274975,4478045478.686699,4611786689.761843,4748777300.844154,4888811693.259457,5031492223.114242
