,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.918187752,0.926829586,0.915955215,0.900077158,0.886277963,0.875975176,0.868057088,0.861368892,0.855284081,0.849558339,0.844135993,0.839027233,0.834236615,0.829742734,0.825498608,0.821443753,0.817503151,0.813603536,0.809673756,0.805657459,0.801508917,0.797192127,0.792690715,0.787993778,0.041562279
1,ELPA_SUNN_out,0.859520031,0.880644516,0.86880063,0.847938586,0.828283268,0.812482298,0.79963424,0.78849114,0.778384901,0.769144226,0.760825708,0.753503037,0.747163893,0.741696107,0.736919857,0.732628818,0.728621722,0.724721258,0.720782837,0.716696804,0.712386589,0.707804529,0.702926521,0.697746678,0.05615432
2,ATLA_NASH_in,0.91485408,0.929514182,0.922206903,0.908823778,0.896876322,0.887761439,0.88052328,0.874221595,0.868350761,0.862712507,0.857277979,0.852087403,0.847181134,0.842564199,0.838198941,0.83401425,0.829920373,0.825823175,0.82163491,0.8172812,0.812704537,0.807865274,0.802740479,0.79732176,0.039378053
3,ATLA_NASH_out,0.805062448,0.839531158,0.835962885,0.821712439,0.807458692,0.796215748,0.787467642,0.780148161,0.773560768,0.767379826,0.761490953,0.755865862,0.750491952,0.745343721,0.740377879,0.735537997,0.730761628,0.725987109,0.721159362,0.716233931,0.711178882,0.705974445,0.700611455,0.695088881,0.043061014
4,CHIC_ECHI_in,0.898131825,0.912836389,0.901446344,0.880714699,0.861692532,0.846460405,0.833129295,0.820022283,0.806468229,0.792461316,0.778288739,0.764285845,0.75069806,0.737626019,0.725029362,0.712762639,0.700621063,0.68838219,0.675837255,0.662810897,0.649171192,0.634831863,0.619749685,0.603918839,0.095221976
5,CHIC_ECHI_out,0.824466831,0.858388932,0.845504197,0.818448794,0.795641743,0.779164911,0.764818237,0.749413372,0.731686065,0.711512127,0.68929345,0.665591013,0.640895564,0.615507834,0.589513265,0.562819279,0.535220169,0.506462496,0.47629807,0.444519157,0.41097834,0.375595093,0.338353934,0.29929678,0.170848148
6,HOUS_NASH_out,0.889597503,0.904087119,0.89262438,0.874489486,0.858571226,0.846786478,0.837906552,0.830521547,0.823796692,0.817365657,0.811121136,0.805067711,0.799239141,0.793660281,0.788334049,0.783240345,0.778339894,0.773580558,0.768904391,0.764254451,0.759579876,0.754839222,0.750001406,0.745045593,0.047746458
7,ELPA_HOUS_in,0.850913909,0.872500676,0.86055602,0.839450174,0.819728921,0.804081254,0.791495403,0.780622019,0.770743947,0.761671148,0.7534521,0.74615962,0.739790227,0.734250366,0.729384466,0.725010201,0.720945536,0.717025271,0.713109767,0.709088546,0.70488026,0.700430191,0.695706322,0.690694815,0.055772344
8,EASH_ECHI_in,0.824867438,0.858706996,0.84677101,0.82105095,0.799234337,0.783370341,0.769531481,0.754730798,0.737775904,0.718533401,0.697360926,0.674769372,0.651209279,0.626957422,0.602091073,0.576521925,0.550055905,0.52245441,0.493483933,0.462949277,0.430712087,0.396697346,0.360891542,0.323335409,0.163526342
9,EASH_ECHI_out,0.898580701,0.913124974,0.90234577,0.882555476,0.864273398,0.84952191,0.83657807,0.823894476,0.810845544,0.797416714,0.783863595,0.770487609,0.757508668,0.745014073,0.732961696,0.721212728,0.709573881,0.697836063,0.685803414,0.673311689,0.660237393,0.646500072,0.632059626,0.616911052,0.091310594
10,EASH_WASH_in,0.892415995,0.908000127,0.897015591,0.876681137,0.857954748,0.842924404,0.829785676,0.81691802,0.803660877,0.789990192,0.776164268,0.762491788,0.749200093,0.736382014,0.723998131,0.711909862,0.69992227,0.687823279,0.675413594,0.662525566,0.649032827,0.634852621,0.619943491,0.604299915,0.093491016
11,EASH_WASH_out,0.816946319,0.852932874,0.839714401,0.811382951,0.787475476,0.770234464,0.7552103,0.7390208,0.720326293,0.699000612,0.67548066,0.650375286,0.624218985,0.597342162,0.569843494,0.541629129,0.512482328,0.482133675,0.450317912,0.416812163,0.381457022,0.344164283,0.304914743,0.263750404,0.180245387
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.089859828
