,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,1.9002867774421174e+29,1.6995593337073394e+29,1.9521428440069898e+29,2.3209490040532562e+29,2.641468581156115e+29,2.880775670234101e+29,3.0646923641264357e+29,3.220041830106446e+29,3.3613762479359476e+29,3.494370411235711e+29,3.620317484014216e+29,3.738980747245883e+29,3.850254412713787e+29,3.9546356400133466e+29,4.053215685424984e+29,4.147399480815827e+29,4.238929464847941e+29,4.3295074217180696e+29,4.420786055322844e+29,4.5140742396726635e+29,4.610434137204734e+29,4.7107019869063555e+29,4.815258143012092e+29,4.924355827068361e+29
1,ELPA_SUNN_out,1.884556664288737e+18,1.6011690076828746e+18,1.7600562488245583e+18,2.0399232264869796e+18,2.3036018102124155e+18,2.515573835005118e+18,2.6879321773362867e+18,2.8374182815190195e+18,2.97299475826351e+18,3.096959590927987e+18,3.2085535695699267e+18,3.3067881373969853e+18,3.391828562062604e+18,3.46517960534194e+18,3.5292536012627405e+18,3.5868184425526267e+18,3.6405741379640684e+18,3.692899358254995e+18,3.7457337831889567e+18,3.8005484330268667e+18,3.8583705183557304e+18,3.9198394310049874e+18,3.9852785282064307e+18,4.0547667896626186e+18
2,ATLA_NASH_in,2.5162042617409577e+18,2.082973744788143e+18,2.2989160628149568e+18,2.6944097863566474e+18,3.0474770618385116e+18,3.3168371052116946e+18,3.530736806728541e+18,3.716962130222688e+18,3.890455092409117e+18,4.057074906080447e+18,4.2176743073307976e+18,4.371064507919043e+18,4.5160529516984684e+18,4.652491085325464e+18,4.781491760688453e+18,4.905156390846508e+18,5.026137273701453e+18,5.147216344982606e+18,5.270986562797773e+18,5.399645974380724e+18,5.534894008430378e+18,5.677902333842926e+18,5.829348578237597e+18,5.989480787953123e+18
3,ATLA_NASH_out,1.976183861942976e+18,1.626756530613158e+18,1.6629299789431104e+18,1.807394197583464e+18,1.9518918810717734e+18,2.065867483898487e+18,2.154551604132447e+18,2.2287530087149207e+18,2.2955328564776154e+18,2.358192298026521e+18,2.4178908766438666e+18,2.4749153667560965e+18,2.5293935006963487e+18,2.5815838102968525e+18,2.631925148406749e+18,2.680989564129057e+18,2.729410108291632e+18,2.77781190504936e+18,2.826753295815983e+18,2.876684962499566e+18,2.9279306424726676e+18,2.9806907434114335e+18,3.0350581667529103e+18,3.091043386418798e+18
4,CHIC_ECHI_in,9.695929817999598e+18,8.29633247853038e+18,9.380450099626613e+18,1.1353711819317473e+19,1.3164263535607804e+19,1.4614074809902119e+19,1.5882945171301718e+19,1.713048561603477e+19,1.8420576023074683e+19,1.975377015466676e+19,2.110273220807974e+19,2.243554378476332e+19,2.372884473026027e+19,2.497305663583243e+19,2.6172020838020575e+19,2.7339581617799356e+19,2.8495230786019443e+19,2.9660140801509323e+19,3.085418204125452e+19,3.209404578617134e+19,3.339228854527171e+19,3.475712231334011e+19,3.619266138343563e+19,3.76994594355598e+19
5,CHIC_ECHI_out,6.779384031351698e+18,5.469255880110708e+18,5.966885857698157e+18,7.011810698427359e+18,7.892657056126411e+18,8.529019849502625e+18,9.083112318243356e+18,9.678073942638551e+18,1.0362732138381957e+19,1.1141883308405459e+19,1.2000005711988474e+19,1.2915433387249963e+19,1.3869212866338058e+19,1.4849729383225854e+19,1.5853683018683853e+19,1.6884649333222207e+19,1.795057304608919e+19,1.906124240380668e+19,2.0226242877689815e+19,2.1453597542299898e+19,2.274899990952084e+19,2.4115559987160666e+19,2.5553875708507533e+19,2.7062328223907066e+19
6,HOUS_NASH_out,1.3688120148258514e+18,1.1891642716329746e+18,1.3312836575217823e+18,1.5561269460370179e+18,1.7534875619154555e+18,1.899599336389559e+18,2.009696028344405e+18,2.101258124177561e+18,2.1846354285343688e+18,2.2643698361573775e+18,2.3417917742234947e+18,2.4168444320461844e+18,2.489109258964636e+18,2.558278079054559e+18,2.624314713920087e+18,2.6874683995975823e+18,2.7482260399860593e+18,2.8072340946662595e+18,2.865210989175316e+18,2.9228627103733555e+18,2.9808198579295903e+18,3.039596279382646e+18,3.0995773572376776e+18,3.1610214099127137e+18
7,ELPA_HOUS_in,2.073937959503351e+18,1.7736442423727124e+18,1.9398064539540196e+18,2.2334100678140892e+18,2.507752601199577e+18,2.7254274391550546e+18,2.900509322854186e+18,3.051769063977583e+18,3.189183019340405e+18,3.315394802509894e+18,3.429730057814995e+18,3.531175808342128e+18,3.619780487827285e+18,3.69684555158259e+18,3.7645351262235955e+18,3.8253855645688847e+18,3.881929155273754e+18,3.9364640031173596e+18,3.990932611259811e+18,4.046871853079625e+18,4.1054133577882737e+18,4.1673183024423163e+18,4.2330320887168573e+18,4.302747210501904e+18
8,EASH_ECHI_in,8.201344420101636e+18,6.616659803366468e+18,7.175614323240646e+18,8.380068044884294e+18,9.40172590003282e+18,1.0144626541996063e+19,1.0792691425295258e+19,1.1485797794330827e+19,1.227978451982498e+19,1.3180898444025756e+19,1.4172391720875235e+19,1.5230339574519968e+19,1.633364345221896e+19,1.7469342218384767e+19,1.8633817213143917e+19,1.983120383204971e+19,2.1070590413572334e+19,2.2363150560954946e+19,2.371981922598235e+19,2.514973738086374e+19,2.6659384080498086e+19,2.8252272341664694e+19,2.992903493929955e+19,3.1687764352440123e+19
9,EASH_ECHI_out,5.332233430236686e+18,4.5675519367440543e+18,5.134280716880762e+18,6.174777638230811e+18,7.135978400596189e+18,7.911554421491112e+18,8.592091344813656e+18,9.25894550667183e+18,9.945007721858548e+18,1.0651043569070875e+19,1.1363613993953087e+19,1.2066871469149979e+19,1.274925385112529e+19,1.3406171188982725e+19,1.403983845794883e+19,1.4657553624823706e+19,1.526947906299812e+19,1.5886608027067548e+19,1.6519238007754795e+19,1.7176004493142995e+19,1.7863400280861106e+19,1.8585655326316425e+19,1.934487796612855e+19,2.0141331264875733e+19
