,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.029785595,0.027081998,0.02614148,0.025887615,0.025993707,0.026318866,0.026725785,0.027128024,0.027475993,0.027751866,0.02796145,0.028123648,0.028264304,0.02839689,0.028548785,0.028758737,0.029036944,0.029382193,0.02980105,0.030311515,0.030941981,0.031708967,0.032624642,0.033666675,0.002081976
1,ELPA_SUNN_out,30.98777101,27.70869593,26.3894451,25.84433431,25.65333892,25.68201151,25.84747161,26.08972867,26.36189274,26.64557451,26.94345022,27.26136107,27.61436739,28.02526692,28.49953242,29.04570128,29.68780423,30.41260961,31.22395635,32.14582497,33.18915811,34.36289566,35.67208477,37.12344602,3.360713051
2,ATLA_NASH_in,20.35243291,18.22474316,17.52419337,17.36026003,17.49642518,17.79867854,18.17423066,18.54297012,18.84098683,19.04015954,19.14808715,19.1901819,19.19770375,19.19238933,19.20277094,19.24944405,19.32970215,19.44657426,19.62134946,19.84823935,20.12909601,20.46658803,20.86180886,21.3116699,1.04839974
3,ATLA_NASH_out,31.85585947,28.13394146,26.70684861,26.15506555,26.08309317,26.27155539,26.6329472,27.00373144,27.33389894,27.61183766,27.84187337,28.04000228,28.22612997,28.44293518,28.69924844,29.01373782,29.37773577,29.80087865,30.30769727,30.90730425,31.61763843,32.43391747,33.38424666,34.47016239,2.374497312
4,CHIC_ECHI_in,21.91443968,21.45694729,21.39535216,21.53913327,21.84488449,22.24451519,22.66450445,23.02372996,23.27844977,23.40779309,23.41666869,23.3264748,23.16530988,22.96635605,22.7590479,22.56431895,22.39324234,22.25270797,22.14648152,22.07206931,22.0287475,22.01318196,22.02052148,22.04512231,0.630894999
5,CHIC_ECHI_out,16.41073225,17.03321397,17.31709356,17.61699166,18.04088826,18.53953456,19.02522369,19.41773347,19.67244152,19.77329922,19.7315169,19.57543926,19.33935127,19.06042441,18.76988463,18.49541015,18.26013654,18.07471041,17.94399439,17.86731193,17.84117528,17.85801201,17.90972694,17.98753577,0.907549259
6,HOUS_NASH_out,45.62224859,40.7951277,38.95706616,38.23265064,38.00330197,38.01882063,38.20003245,38.48377779,38.8420509,39.25409582,39.71821102,40.24017666,40.81236355,41.45309561,42.1577519,42.92805065,43.77195382,44.71983861,45.78406623,46.95980635,48.28269101,49.77885588,51.4459042,53.27838932,4.557919533
7,ELPA_HOUS_in,41.49518053,36.71633676,34.67639485,33.66776683,33.12520709,32.84981322,32.78650558,32.90174706,33.16039247,33.53734054,34.01569021,34.592842,35.2735751,36.03398877,36.87484602,37.79012496,38.76640009,39.80626613,40.9190533,42.14158538,43.49707111,44.97964428,46.59859505,48.34928454,4.744607132
8,EASH_ECHI_in,13.46571829,14.2422846,14.54218385,14.8329102,15.24334935,15.72952728,16.2044284,16.58867846,16.8305231,16.91435561,16.85134756,16.67169825,16.412952,16.11155053,15.80065168,15.50504315,15.24757007,15.04262194,14.89163845,14.79384792,14.74661032,14.74181541,14.77057645,14.82304223,0.941399265
9,EASH_ECHI_out,15.21226692,15.18642458,15.27700149,15.47671933,15.81216148,16.2326471,16.65453544,17.00836784,17.24385448,17.34561173,17.31985924,17.18953266,16.98784429,16.74570508,16.50110558,16.27246734,16.0708385,15.90289662,15.77348588,15.68002709,15.62127875,15.59220689,15.5867378,15.59844035,0.723159368
10,EASH_WASH_in,18.80382247,18.61470857,18.67688765,18.88015906,19.23621442,19.67333001,20.10779416,20.46942159,20.71731096,20.83454138,20.82745757,20.7196137,20.54158529,20.32455595,20.10102186,19.88647759,19.69731922,19.54544909,19.43306715,19.35868892,19.3206812,19.3150673,19.33538913,19.37528526,0.700979602
11,EASH_WASH_out,15.23245965,16.07611971,16.41883175,16.7317892,17.16086151,17.66289438,18.14445643,18.53005687,18.77467442,18.86187688,18.80206742,18.62386553,18.36218887,18.05405271,17.74147043,17.44730591,17.19247486,16.98894996,16.84185428,16.7500771,16.70898316,16.71108838,16.74771741,16.81017298,0.96571351
,,,,,,,,,,,,,,,,,,,,,,,,,AVE ,1.746492896
