,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.918537379,0.928789324,0.910771771,0.885648844,0.863774195,0.846664338,0.832688842,0.82046811,0.809372422,0.799221887,0.789980905,0.781607309,0.773996571,0.766994364,0.760409211,0.75404704,0.747745677,0.741366577,0.734813754,0.72803697,0.721019401,0.713767121,0.70631308,0.698705487,0.069507001
1,ELPA_SUNN_out,0.854800101,0.869585372,0.848831212,0.817838471,0.788644469,0.763403602,0.740549469,0.718729284,0.697479781,0.676870173,0.657132376,0.638453578,0.620898962,0.604412659,0.58885518,0.574049101,0.55981738,0.546008802,0.532510766,0.519251888,0.506197854,0.493343412,0.48070284,0.468301033,0.127715512
2,ATLA_NASH_in,0.900936487,0.914722197,0.898771161,0.875980371,0.857499977,0.844469753,0.834843736,0.826961519,0.820048317,0.813849514,0.80829736,0.803341975,0.798895485,0.79483105,0.791001136,0.787257054,0.783463531,0.779507146,0.77529988,0.770779384,0.765907013,0.760664863,0.755052233,0.749082,0.047770201
3,ATLA_NASH_out,0.791809135,0.823169653,0.810259255,0.78486348,0.760971254,0.741700537,0.725725752,0.711431212,0.69794788,0.68498624,0.672527608,0.660624756,0.649308531,0.63855987,0.628314166,0.618477617,0.60894471,0.599612039,0.590387099,0.581192624,0.57196759,0.562665808,0.55325362,0.543707436,0.085906798
4,CHIC_ECHI_in,0.917514161,0.926229636,0.900985037,0.865735623,0.838568842,0.820466946,0.8071625,0.795734072,0.785072443,0.774960317,0.765424672,0.756462102,0.74797219,0.739775194,0.731650795,0.723372866,0.714733092,0.705554684,0.695698634,0.685065127,0.673592345,0.661253266,0.648051817,0.634018216,0.083555043
5,CHIC_ECHI_out,0.852146254,0.867527813,0.813601838,0.738008635,0.677812289,0.63555533,0.602470512,0.572264188,0.542465118,0.512614875,0.482856112,0.453286086,0.423782796,0.394039245,0.363655938,0.332224401,0.299382791,0.264845243,0.22841178,0.189967216,0.149473532,0.106959984,0.06251211,0.01626102,0.249557412
6,HOUS_NASH_out,0.899373611,0.912857179,0.893271133,0.865401728,0.84115161,0.822506904,0.807760217,0.795283191,0.784241621,0.774324036,0.765426397,0.757472383,0.750344421,0.743877142,0.737877648,0.732151337,0.726523113,0.72085085,0.715031201,0.708999614,0.702726143,0.696209214,0.689468329,0.682537148,0.069259316
7,ELPA_HOUS_in,0.8510913,0.866237153,0.844771553,0.812591713,0.782207349,0.755965932,0.732282632,0.709750692,0.687873681,0.666708654,0.646485168,0.627388368,0.609477216,0.592685071,0.576859194,0.561808738,0.547345246,0.533309169,0.519583079,0.506094098,0.492808875,0.479725041,0.466860624,0.454244598,0.131077907
8,EASH_ECHI_in,0.85261354,0.868400338,0.816211661,0.742822857,0.684207966,0.642928465,0.610576935,0.58108231,0.5520408,0.522988322,0.494044279,0.465288527,0.436592727,0.407653092,0.378078505,0.347470989,0.315479151,0.281825961,0.246318323,0.208845652,0.169372531,0.127928769,0.084598971,0.03951174,0.242979698
9,EASH_ECHI_out,0.918150843,0.92725335,0.903177096,0.869307034,0.843099254,0.825574002,0.812673744,0.801601503,0.791285925,0.781508087,0.772284399,0.763604193,0.755366249,0.747395542,0.739480064,0.731403445,0.722967294,0.714003694,0.704381069,0.694005385,0.682818589,0.670795749,0.657941332,0.644284815,0.080901391
10,EASH_WASH_in,0.912292374,0.922126172,0.896994911,0.861632516,0.834336801,0.816162718,0.802849527,0.791456768,0.780856525,0.770818921,0.761362189,0.752475852,0.744053395,0.735910547,0.727824381,0.719568129,0.710934666,0.701749654,0.691877371,0.681221489,0.669723466,0.65735915,0.644134667,0.630081899,0.083356434
11,EASH_WASH_out,0.844934432,0.860994127,0.804125732,0.724655053,0.66161402,0.617481192,0.582946002,0.551401978,0.520282471,0.489124808,0.458086076,0.427271086,0.396554178,0.365616737,0.334042893,0.301405982,0.267326071,0.231500197,0.193713607,0.153838673,0.111827872,0.067703975,0.021549161,-0.026505926,0.260051994
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.127636559
