,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,2.250946911697145e+29,1.9676687257351257e+29,2.4655234922042228e+29,3.1597115160072303e+29,3.76414424887947e+29,4.236917881882575e+29,4.623083931223201e+29,4.960762988132407e+29,5.267355189884527e+29,5.547831237699709e+29,5.803174870696277e+29,6.034551170066144e+29,6.244848448121323e+29,6.438330991808809e+29,6.620289668572118e+29,6.796086962412511e+29,6.97020403358673e+29,7.146469118797238e+29,7.327534455681068e+29,7.514788202296685e+29,7.708695240892667e+29,7.909087734436946e+29,8.11505521794357e+29,8.32526558403532e+29
1,ELPA_SUNN_out,1.9581294196994721e+18,1.758738965000023e+18,2.0386243553123543e+18,2.4565846903505623e+18,2.8502876785021926e+18,3.1906796689101066e+18,3.4988847836610903e+18,3.7931463185062676e+18,4.079711784401204e+18,4.357647792249282e+18,4.623826767238003e+18,4.875724357535183e+18,5.112461508845993e+18,5.33479164820777e+18,5.544595908661263e+18,5.744266978379937e+18,5.936192395543049e+18,6.122411420407276e+18,6.304442544924639e+18,6.483248449323589e+18,6.659291868122165e+18,6.832643654162047e+18,7.003111231992059e+18,7.170358896105435e+18
2,ATLA_NASH_in,3.184734077563303e+18,2.74154548095062e+18,3.25434587399105e+18,3.98703343222102e+18,4.5811486699689533e+18,5.000049579936872e+18,5.309510698177787e+18,5.562911419522095e+18,5.785159851007656e+18,5.984441483565817e+18,6.162934373204546e+18,6.322242100409189e+18,6.465189670376687e+18,6.595854793757648e+18,6.718980411829457e+18,6.839346685694356e+18,6.961302406853362e+18,7.088493891696727e+18,7.223750777256172e+18,7.369077519803043e+18,7.525716503946996e+18,7.694243254349433e+18,7.874680380310096e+18,8.066613858664387e+18
3,ATLA_NASH_out,2.1135525551304356e+18,1.7951807412950784e+18,1.9262470320246607e+18,2.1840648102498225e+18,2.4266185566970414e+18,2.622254769787408e+18,2.7844307101308887e+18,2.929548801375145e+18,3.0664315136873856e+18,3.198018014785169e+18,3.324497983543925e+18,3.4453356671586724e+18,3.560217924596671e+18,3.6693382771538043e+18,3.773352606550865e+18,3.8732132007585244e+18,3.969991224974112e+18,4.064736445713268e+18,4.158387993306526e+18,4.251730253246855e+18,4.3453827461553367e+18,4.4398143863981737e+18,4.5353668754589594e+18,4.63227968258023e+18
4,CHIC_ECHI_in,7.782418690253686e+18,6.960126299878872e+18,9.341917403429024e+18,1.2667648201969697e+19,1.5230794390389131e+19,1.6938681885448137e+19,1.8193936984142668e+19,1.927219253084905e+19,2.0278101679795704e+19,2.12321660596862e+19,2.2131840256169214e+19,2.2977445666437976e+19,2.3778456459947176e+19,2.4551831079356772e+19,2.5318356294610035e+19,2.6099366857982448e+19,2.6914516906332955e+19,2.7780486324838298e+19,2.8710390262081745e+19,2.9713646148266967e+19,3.0796086386991202e+19,3.1960260505484997e+19,3.320579804270522e+19,3.4529847829244166e+19
5,CHIC_ECHI_out,5.764900840786313e+18,5.16516517367239e+18,7.267769337659136e+18,1.0215190904185534e+19,1.256228031642298e+19,1.4209902959560569e+19,1.5499898652725776e+19,1.6677660237779145e+19,1.7839542742806585e+19,1.900342055032755e+19,2.0163731463584748e+19,2.1316683424362308e+19,2.2467033354253996e+19,2.362675115476776e+19,2.481141337947103e+19,2.603694672430363e+19,2.7317459604573647e+19,2.86640980575014e+19,3.0084659297717465e+19,3.1583634487382905e+19,3.3162506051864764e+19,3.48201332367396e+19,3.655318086920708e+19,3.835653692558308e+19
6,HOUS_NASH_out,1.3857424838871974e+18,1.2000580645086868e+18,1.4697807071804544e+18,1.8535748473281193e+18,2.1875271990161787e+18,2.444286497573517e+18,2.6473655409442345e+18,2.8191887020764457e+18,2.9712439780179456e+18,3.107820661651124e+18,3.2303515067951846e+18,3.339887537756464e+18,3.4380478740169513e+18,3.527109820604552e+18,3.6097298370850555e+18,3.6885878040124457e+18,3.76609500763681e+18,3.844208663743847e+18,3.9243520101151596e+18,4.007413980587957e+18,4.0938069684980644e+18,4.183552666934999e+18,4.2763824971616876e+18,4.3718329284083476e+18
7,ELPA_HOUS_in,2.0758280715110894e+18,1.864690719229497e+18,2.1639270629575148e+18,2.6125228501128264e+18,3.036089209832002e+18,3.4019017457784407e+18,3.732053439462322e+18,4.0461548511732767e+18,4.351126385558881e+18,4.646172648766789e+18,4.928093590348235e+18,5.19430821247108e+18,5.443994571060512e+18,5.67808167771327e+18,5.898698734039035e+18,6.10850621264283e+18,6.310131262662414e+18,6.50579802112131e+18,6.697143468642072e+18,6.885183557661134e+18,7.070383210322405e+18,7.252775440090141e+18,7.432108929308637e+18,7.607979786105135e+18
8,EASH_ECHI_in,6.966754384778435e+18,6.220534248556193e+18,8.687420950672642e+18,1.2156408342561982e+19,1.4927053261093097e+19,1.6878278274757327e+19,1.840749042185935e+19,1.9801660602089157e+19,2.1174412668850016e+19,2.2547683156925936e+19,2.3915828103815885e+19,2.5275072795576582e+19,2.6631483611595137e+19,2.7999420225465663e+19,2.939737007074988e+19,3.0844145071890657e+19,3.2356355072302817e+19,3.3947094916823667e+19,3.5625491885723083e+19,3.7396773280391045e+19,3.92626132015869e+19,4.1221602590737646e+19,4.3269742303226634e+19,4.540095344527097e+19
9,EASH_ECHI_out,4.2677425357232717e+18,3.7931236723421015e+18,5.048497023658609e+18,6.814534832100844e+18,8.181049294998968e+18,9.094843262641109e+18,9.7674827890743e+18,1.0344806715451673e+19,1.0882676993832524e+19,1.1392508709555833e+19,1.187344617450341e+19,1.2326045600271358e+19,1.2755584868690516e+19,1.3171189954656864e+19,1.358391531451414e+19,1.4005042762726085e+19,1.4444916855363381e+19,1.4912292885424095e+19,1.5414031561029556e+19,1.5955035870561032e+19,1.653833285338229e+19,1.716522248017476e+19,1.7835471810796843e+19,1.8547543859938992e+19
