,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,280789796804938.97,269814739367673.3,315391394771138.75,367781418269219.75,408599478408724.94,438814845335933.56,463383144055147.1,485243269161924.0,505374962374921.94,523830095521442.25,540469611844615.94,555241120877843.3,568686874128758.4,581336539717869.0,593158388818126.0,604405252394891.2,615287708382730.1,625923479881314.6,636289130255235.0,646575804255200.2,656686125232773.0,666567490244679.5,676432087331024.9,686197133980118.5
1,ELPA_SUNN_out,893730023.5450876,855264271.9012562,969305408.4228257,1111316284.77366,1229128236.9762707,1322057725.8089821,1402231471.4367745,1475532259.5756004,1544043912.5205703,1607568568.4598916,1665232887.788182,1717631460.779204,1764642151.18621,1806993157.0468192,1845938613.2634542,1881761224.9871063,1915235446.0609722,1946714141.6442425,1976747114.0812814,2006016504.4460168,2034541105.7222118,2062047280.2217135,2088485170.6027913,2113969805.2633362
2,ATLA_NASH_in,1083714111.3527274,1019076475.0792804,1149444690.5474656,1298957095.166133,1407272257.355533,1479920253.5378067,1534455315.9039073,1580015878.2699814,1620626206.9665842,1658945379.7504783,1694606951.545732,1726740632.131326,1756420286.5649273,1783379638.4779694,1808602992.5128958,1833369705.0226746,1857216162.714367,1881169348.2726712,1905642743.4473808,1930536304.4030652,1956093939.2371423,1982691330.7026668,2009926154.3512933,2038108992.5172493
3,ATLA_NASH_out,904821086.4654527,832550810.4691981,890262779.1891559,977958954.946187,1055769033.3685673,1113816556.1184008,1160471786.7915866,1201926349.8929236,1240086228.3390374,1275322017.8396032,1308361966.8914597,1339080204.6946132,1366598321.8148215,1391665931.6808586,1415307919.981187,1437797346.861825,1458652330.193211,1478117761.6941679,1496720401.546831,1514599372.7505383,1532531796.360296,1549806061.6940126,1566640828.6191878,1583313573.4133503
4,CHIC_ECHI_in,2012238819.043804,1894770498.2494361,2220745668.8658895,2594017811.3785987,2836764889.1972413,2980959307.8301115,3078634663.8421617,3160400625.5213523,3236797266.5882874,3309073437.655829,3378292650.7169986,3445646715.7239614,3510830540.499175,3575547409.615182,3641010265.0226235,3708935507.8676353,3780406269.719722,3856564698.200163,3938228587.3990507,4026713097.297527,4120184199.3880363,4218689005.091693,4322271060.275614,4430105795.060779
5,CHIC_ECHI_out,1766911818.770002,1697521807.7630453,2105939319.1932092,2559407069.4769273,2856962719.5271597,3038262220.149687,3169316068.591206,3285702463.1846,3399337039.959314,3512297280.7423296,3624132673.7290835,3734567471.8391366,3842852796.139529,3951579369.798034,4061710927.5292706,4175405260.7358556,4292684674.5153136,4413751610.205812,4540232608.335796,4671601564.919739,4806646863.162665,4945386221.343576,5086720375.387622,5230210513.5234
6,HOUS_NASH_out,731497729.052204,700171465.9625152,806962653.6325849,928725665.2590408,1021647103.0960796,1088981808.4510157,1143176836.0402346,1189927443.1966355,1231705788.7063816,1269106914.9729085,1302494171.2690127,1332750964.746955,1360115152.140184,1384901845.1342354,1407900612.9257364,1429583399.8111827,1450494029.4914758,1471053713.7032704,1491766807.4100883,1512559378.6195223,1533447527.7356918,1554510049.81829,1575609581.6127658,1596362608.638511
7,ELPA_HOUS_in,920249074.9956205,882752051.5840497,1006864079.8390803,1157035010.4688058,1281597702.5489244,1379134346.8646417,1461855796.6192684,1536209736.4729378,1605158417.2747753,1668822200.952081,1727062293.2795203,1780219561.9897223,1828140095.812315,1871096836.7541192,1910681660.5301783,1947135014.9392734,1980870467.766175,2012691945.1422803,2042943951.936994,2071940853.210198,2099878291.0732052,2126844197.1403239,2153128214.600966,2178143152.5778356
8,EASH_ECHI_in,1930872986.2683816,1850789683.4913914,2288166003.635126,2775346376.412736,3097259144.2439003,3294333276.4322505,3437016791.7421136,3563167863.5073285,3686331387.0342355,3808389660.824372,3928846320.670973,4048303329.4119782,4166208904.8731,4284066930.4126515,4404243655.684426,4527659749.240972,4655173918.745071,4786751302.596361,4924226207.641929,5067349206.295467,5214399239.602624,5365158334.026157,5519131883.812258,5675541496.277465
9,EASH_ECHI_out,1479662328.1165555,1386020477.665369,1614939861.9252665,1881044234.4622056,2054380775.1225786,2157021975.486846,2227847387.88423,2287091804.134648,2342318807.0565944,2395151669.288432,2446422660.8586273,2495940410.672316,2544209769.6083336,2592068800.0510826,2640646524.9042797,2690941438.028661,2744187552.2284675,2801409317.854422,2862391617.701119,2927305950.334067,2996129594.646952,3068498391.8490634,3144501057.007381,3223601695.48444
10,EASH_WASH_in,1799867578.1288893,1688195112.0731127,1959828343.849796,2276094113.0582476,2480551001.826168,2600545603.1130643,2682634865.0155587,2750930885.901364,2814516720.8432026,2876379093.235788,2935382714.8552704,2992193036.907066,3047641637.1049747,3103310578.6850553,3160691756.3302836,3220452079.566593,3283712292.4718995,3350994887.619602,3422473604.638592,3498867929.360592,3579379465.8158755,3663887587.71741,3752304867.4709234,3844442713.533107
11,EASH_WASH_out,1712140585.634002,1646781629.431992,2049666143.7039769,2491814023.9711766,2778122954.9333277,2950807023.6912622,3075337859.010203,3185610554.752319,3293854707.210309,3401409457.0864434,3507525150.285906,3612332872.050679,3715836504.139546,3819695343.5770707,3926228389.29738,4035888731.800472,4149321608.017931,4266935291.6932893,4389171946.851326,4516231555.602215,4646770605.021915,4780375058.031766,4916359676.868557,5054266987.11406
