,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,734280014443090.6,687529331835863.2,672563160785427.4,670622263557316.2,675782475802116.0,684654527049552.0,694680590084495.0,703968859147779.8,711340470901922.0,716295849984479.2,718906770341547.9,719593495859183.4,718975606554169.0,717680510982363.6,716274784310488.6,715212949214456.1,714849175599000.5,715453754586600.0,717267626146165.4,720491701829219.1,725311537936573.6,731896332086499.1,740366525835937.9,750789225465316.9
1,ELPA_SUNN_out,2611745562.6937637,2489730459.958822,2449427814.4705772,2439703180.4600015,2446477169.1167903,2462663719.806063,2482742775.835989,2502211439.1431875,2517974525.9616356,2528553940.774544,2533904223.164298,2534962332.273082,2533129688.0751176,2529839858.4866724,2526289731.6439157,2523341431.8059506,2521555202.6384635,2521292886.049082,2522834699.8449006,2526469040.627748,2532538261.8336105,2541440462.1448426,2553600734.5531144,2569427804.628286
2,ATLA_NASH_in,2568582497.732651,2501383747.8524737,2495309049.0507407,2518500731.121674,2562387081.319627,2616888569.247445,2671681046.2038765,2718373189.573534,2751710698.7274027,2769742315.2387505,2773261198.644119,2764903029.1257424,2748205272.8609424,2726821347.9413557,2703982207.863453,2682219773.1426983,2663308638.237009,2648350373.2299294,2637919929.031549,2632212894.6252866,2631159361.981388,2634498765.0703735,2641827306.529578,2652634868.6492486
3,ATLA_NASH_out,2106465023.6447647,1981434260.193824,1937276927.8308184,1926153080.9255438,1933585149.1048317,1951592361.749368,1974011863.023727,1996039428.0793397,2014457803.2708442,2027676153.1290836,2035468024.8371334,2038532590.246297,2038032688.0551057,2035220792.2490287,2031205656.2633452,2026861520.4671936,2022846069.0275774,2019678487.0963,2017828709.3729997,2017783369.1477826,2020071117.9266396,2025247553.2844772,2033851910.7386253,2046352776.6143534
4,CHIC_ECHI_in,4479343193.828412,4620300082.952927,4685659516.196046,4762662743.450855,4869509344.869999,4991109706.227241,5106507418.0649185,5198789155.222051,5258026877.191539,5281264176.555019,5271161539.722621,5234145808.228585,5178558240.489995,5113091828.271027,5045654786.661955,4982691750.2446995,4928907622.820876,4887288661.919914,4859299115.981092,4845144953.475824,4844040640.144413,4854450103.975302,4874304128.954931,4901205422.445329
5,CHIC_ECHI_out,3867064053.084771,4064495807.943985,4132790938.950397,4200527232.6467195,4296766154.35919,4409376288.642395,4518069948.579063,4605896978.849859,4662616040.326645,4684806550.253286,4674589386.178877,4637850254.450174,4582457527.951374,4516743398.392914,4448379613.147979,4383681154.943516,4327296675.507116,4282194330.3387094,4249832100.2824373,4230411089.464245,4223142745.1763973,4226496682.7043643,4238425929.990761,4256574945.8134103
6,HOUS_NASH_out,1783233936.3701208,1678854514.0403926,1645151482.342585,1640468251.8657963,1651518047.4927695,1670844569.1608465,1692917988.6243274,1713611488.7606754,1730286422.9402637,1741761678.8635905,1748056054.2148438,1749996792.0220094,1748817313.9483843,1745832316.977599,1742231029.180506,1738986605.2673924,1736854252.9923885,1736417851.2912285,1738147825.6246943,1742444765.677654,1749658003.130371,1760080927.5138958,1773932521.6320617,1791337996.3027616
7,ELPA_HOUS_in,2651192595.630301,2519912248.135139,2474248629.8272395,2460511315.1441,2463688024.270952,2476634456.2951083,2494091167.637044,2511846489.645002,2526986010.666944,2538057244.507297,2544899169.8083053,2548236651.6613264,2549215841.5182323,2549021513.5703864,2548645513.859609,2548809838.270853,2550005665.525356,2552590953.3586636,2556894098.4941425,2563287693.166564,2572218365.7620115,2584194329.1142874,2599743830.241319,2619362221.2436895
8,EASH_ECHI_in,4238476293.292812,4440735087.697453,4508863587.887926,4578111480.495471,4678851527.191946,4797849165.821074,4913265045.070933,5006846393.000554,5067518383.680947,5091512134.917839,5081001953.657581,5042205201.064539,4983471857.758497,4913656195.725373,4840913560.61782,4771956003.199037,4711723473.861952,4663370149.269633,4628447058.572047,4607172818.135455,4598717273.722976,4601464921.363086,4613252881.896907,4631591650.88485
9,EASH_ECHI_out,3305262054.6706386,3399671039.1520863,3442268448.647043,3494449965.4649625,3568750571.761649,3654200230.9568853,3735735163.6600647,3801195987.606933,3843408030.151321,3860175227.3655944,3853317720.0161715,3827352140.3395634,3788169311.8839192,3741918084.0439672,3694194676.6865997,3649559632.4197516,3611342196.152549,3581656015.729577,3561538682.0660124,3551139451.6939316,3549907532.622823,3556763306.8958793,3570251850.6152277,3588688126.4259415
10,EASH_WASH_in,3958292844.478752,4068358837.6722813,4119715281.1907406,4182844546.399978,4272158702.3139005,4374564128.5410595,4472181273.109878,4550587403.181858,4601279188.651881,4621666653.542286,4613931686.21539,4583459263.878876,4537265555.085935,4482670718.51933,4426335067.732442,4373686218.7426,4328687321.359199,4293856629.6282287,4270434134.2501373,4258602929.989087,4257713347.6551437,4266484302.369856,4283185062.817727,4305806961.780375
11,EASH_WASH_out,3770472770.086937,3963255441.3144712,4031330550.666682,4098856873.8620086,4194013861.151051,4304947603.1115675,4411856301.853027,4498193035.019503,4553964710.384194,4575847328.837457,4565936894.343336,4530012384.272697,4475791510.59479,4411443971.212981,4344490761.740966,4281123276.3102036,4225900359.011063,4181734986.020659,4150061790.6098933,4131084489.7397118,4124037419.977916,4127427256.929775,4139252660.170973,4157207740.2688465
