,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.712564012,0.656903373,0.654358248,0.655313007,0.652767968,0.648349082,0.643284781,0.638527098,0.634707703,0.632116694,0.630746444,0.630382799,0.630708474,0.631389167,0.632127562,0.632684541,0.632876129,0.632557823,0.631606972,0.629909951,0.627356964,0.623843815,0.619277966,0.61358568,0.019297898
1,ELPA_SUNN_out,0.401337778,0.447754792,0.462598905,0.466144365,0.463676158,0.457750623,0.450345828,0.44310872,0.437207676,0.433226401,0.431206613,0.43080666,0.431499272,0.432741344,0.434079879,0.435190073,0.435862055,0.435960698,0.435380755,0.434012317,0.431722684,0.42835436,0.423734182,0.417687807,0.014823871
2,ATLA_NASH_in,0.703437269,0.714103997,0.715054322,0.711413788,0.704432525,0.695594763,0.686522324,0.678642765,0.672933344,0.669816228,0.669205546,0.670654792,0.673536962,0.677202507,0.681085877,0.684755784,0.68792078,0.690408356,0.692134659,0.693076325,0.693249936,0.692699399,0.691488762,0.689697271,0.013666838
3,ATLA_NASH_out,0.473235824,0.52354597,0.540578713,0.544808968,0.541985349,0.535098892,0.526435839,0.517827862,0.510556964,0.505297682,0.502181359,0.500952425,0.501153019,0.502280422,0.503887554,0.505622801,0.507223451,0.508483882,0.509219024,0.509237035,0.508327755,0.506266546,0.502828699,0.497808042,0.016379015
4,CHIC_ECHI_in,0.695020171,0.681277229,0.674760367,0.66696507,0.655938157,0.643090968,0.630606067,0.620416744,0.61377982,0.611155807,0.612298043,0.616464474,0.622666166,0.629885092,0.637225289,0.643990541,0.649702261,0.654079533,0.657002457,0.658474172,0.658588816,0.657507129,0.655437584,0.652619969,0.022685797
5,CHIC_ECHI_out,0.526365454,0.486192793,0.471830796,0.457349935,0.43637086,0.411219689,0.386326162,0.365768823,0.352282484,0.346961229,0.34941443,0.358191455,0.371293924,0.386633628,0.402356697,0.417015921,0.429616237,0.439577894,0.446661357,0.450886439,0.452462706,0.451735683,0.449145139,0.445189911,0.047733834
6,HOUS_NASH_out,0.676628952,0.703149555,0.711371245,0.712500503,0.709830925,0.705118645,0.699669539,0.694496134,0.690281647,0.68735764,0.685745563,0.68524734,0.6855502,0.686315757,0.687237633,0.688066527,0.688610465,0.688721704,0.68828057,0.687182973,0.685334353,0.68264966,0.679057147,0.674502983,0.010572805
7,ELPA_HOUS_in,0.40323721,0.452181859,0.468623873,0.47351141,0.472383602,0.467772257,0.461516147,0.455107946,0.449607927,0.445564949,0.443057588,0.441832051,0.441472184,0.441543613,0.441681805,0.441621413,0.441181811,0.440230719,0.438645515,0.436285294,0.432978634,0.428526376,0.42271474,0.41533261,0.01721451
8,EASH_ECHI_in,0.529706233,0.492545235,0.479638034,0.466317379,0.446576323,0.422703972,0.398977437,0.379325492,0.366386346,0.361226341,0.363489621,0.371803682,0.384268849,0.398896068,0.413916998,0.427949484,0.440041749,0.449638001,0.456507309,0.460666605,0.462314415,0.461779287,0.459479856,0.455890889,0.045247411
9,EASH_ECHI_out,0.698081148,0.685802076,0.680148539,0.67312706,0.662946969,0.650974525,0.639286473,0.629715991,0.623456354,0.620950758,0.621976823,0.625845433,0.631633762,0.638389629,0.64527354,0.651631999,0.65701482,0.661156934,0.663944471,0.665379274,0.665548966,0.66460386,0.662739068,0.660178833,0.021065808
10,EASH_WASH_in,0.687614516,0.675075075,0.669106546,0.661667224,0.650948955,0.638380986,0.626123533,0.616082453,0.609497724,0.606828879,0.607842823,0.6118208,0.617800822,0.624790314,0.631913973,0.638489994,0.644048144,0.648310876,0.651158058,0.65259031,0.65269784,0.651636655,0.649610017,0.646852223,0.022019085
11,EASH_WASH_out,0.503202252,0.460539996,0.444967033,0.429257597,0.406677152,0.379698736,0.353032775,0.331020616,0.316574446,0.310857711,0.313450162,0.322800468,0.336773026,0.353136878,0.369911813,0.385552053,0.398994673,0.409620009,0.417171235,0.421668121,0.423332755,0.422532374,0.419735107,0.41547258,0.051130528
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.025153117
