,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.318502154,0.317780423,0.320784208,0.324237171,0.326927687,0.328919573,0.330539419,0.33198089,0.333308551,0.334525762,0.335623313,0.336597722,0.337484729,0.338319217,0.339099107,0.33984107,0.340558976,0.341260575,0.341944309,0.342622773,0.343289541,0.343941145,0.34459157,0.34523536,0.008348105
1,ELPA_SUNN_out,19.26412577,18.47790209,21.57525398,25.54674117,28.97918949,31.78719946,34.24279837,36.51065117,38.64614089,40.64099877,42.48338098,44.18651212,45.7523453,47.20650995,48.58116273,49.89237382,51.1578165,52.37899374,53.5608303,54.70764494,55.81671299,56.87401529,57.8705509,58.80230507,12.71456824
2,ATLA_NASH_in,12.73753439,12.52286114,14.27508925,16.23611582,17.76160714,18.88700443,19.80550667,20.6063707,21.33800452,22.03483552,22.67312141,23.24104657,23.75903976,24.21952431,24.64105542,25.03965,25.4088253,25.76229803,26.10276412,26.43141178,26.75116403,27.06578051,27.37227079,27.67669916,4.664227066
3,ATLA_NASH_out,17.91217689,17.3299965,19.442989,22.04897905,24.2673277,25.90340997,27.23072378,28.44276373,29.58383522,30.65543614,31.67413772,32.62657661,33.4809271,34.25393458,34.97186026,35.64091643,36.25125131,36.80786418,37.3297084,37.81987382,38.30018686,38.74427722,39.1632757,39.55981565,6.987574457
4,CHIC_ECHI_in,20.59855826,20.86870099,23.8735161,26.95482178,29.00987324,30.176011,30.80184387,31.15406012,31.37360714,31.52463234,31.65358053,31.79669302,31.97108102,32.20043026,32.50189507,32.88704776,33.36266573,33.92901687,34.58120972,35.3120711,36.09883415,36.92991436,37.79262286,38.67227575,4.653583402
5,CHIC_ECHI_out,11.55566956,11.34006588,13.50782981,15.90307462,17.53655301,18.54794417,19.23814869,19.78682618,20.26942175,20.71465425,21.13562278,21.54360211,21.94166552,22.35133691,22.78161069,23.24818619,23.75071104,24.29009608,24.8753575,25.50147171,26.15898436,26.84514597,27.55088231,28.2714808,4.701608961
6,HOUS_NASH_out,27.83686856,27.31250924,31.73869639,36.80132689,40.79646951,43.74757133,46.15719306,48.28249757,50.21616957,51.97183401,53.56096614,55.00845019,56.32447803,57.52197243,58.6368615,59.68791414,60.69105594,61.65725313,62.60782156,63.53377309,64.43380844,65.30681619,66.14681754,66.94062798,12.17536009
7,ELPA_HOUS_in,23.33712969,22.73917585,26.62896938,31.29989327,35.21024741,38.27923698,40.86307728,43.1729378,45.30851671,47.26901829,49.04647118,50.65321589,52.09769943,53.40514957,54.62571818,55.77611032,56.87515153,57.94586702,58.98713105,60.00227219,60.98914374,61.93686131,62.84208106,63.68917508,12.77291239
8,EASH_ECHI_in,8.461460143,8.059002855,9.767111867,11.70501462,12.99451187,13.78874977,14.36939842,14.88710886,15.3962746,15.90374082,16.40793264,16.91313331,17.41476346,17.91808365,18.43521405,18.9681776,19.51949148,20.08782276,20.68287471,21.30376577,21.94139474,22.59442673,23.26124305,23.93863361,4.532986082
9,EASH_ECHI_out,9.903051594,9.177578296,10.3929047,11.86968842,12.84656964,13.43825134,13.85850527,14.21933917,14.55950815,14.88753512,15.21023481,15.52783252,15.84122873,16.15437948,16.47337979,16.80330973,17.15234975,17.52821857,17.92715048,18.35044625,18.79721397,19.26617176,19.75784121,20.26985593,3.074332419
10,EASH_WASH_in,13.17420142,12.52527144,14.07230763,15.92669514,17.20588305,18.00208145,18.54167835,18.95095477,19.29217885,19.59751346,19.86837786,20.11738604,20.35715184,20.60256475,20.86295569,21.14562838,21.45792438,21.80281659,22.18118806,22.59611342,23.04066063,23.51279848,24.01134289,24.53364976,3.268673627
11,EASH_WASH_out,9.682878533,9.387128433,11.23792266,13.27338538,14.60244104,15.40830929,15.98238771,16.47940646,16.95918869,17.43181533,17.89714506,18.35946062,18.81937507,19.28619162,19.77362189,20.28100842,20.81102708,21.36498572,21.94391548,22.548066,23.16958392,23.8059012,24.45262368,25.10786943,4.446829886
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,6.166750393
