,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,5.391671396105454e+29,4.726965821346686e+29,4.523412052456847e+29,4.4973422037873856e+29,4.566819546012375e+29,4.687518214094458e+29,4.825811222401422e+29,4.955721546498266e+29,5.0600526554296816e+29,5.1307974470498765e+29,5.16826944442915e+29,5.178147992828406e+29,5.169259228199352e+29,5.1506531584390664e+29,5.13049566639037e+29,5.1152956272404014e+29,5.110093438545706e+29,5.118740749520629e+29,5.144728475173552e+29,5.191082924047644e+29,5.260768270639177e+29,5.356722409216709e+29,5.4814259257837646e+29,5.636844610748104e+29
1,ELPA_SUNN_out,6.821214884250564e+18,6.198757763246765e+18,5.999696618302109e+18,5.952151608746646e+18,5.985250539009704e+18,6.064712596849036e+18,6.164011690965792e+18,6.261062086179021e+18,6.340195713391725e+18,6.393585031406474e+18,6.420670612169865e+18,6.426034026043383e+18,6.416746016607543e+18,6.400089709587867e+18,6.382139808209487e+18,6.367251981468506e+18,6.358240639953103e+18,6.356917817241709e+18,6.36469492274151e+18,6.383045813250494e+18,6.413750047651206e+18,6.458919622626991e+18,6.520876711510205e+18,6.601959243196933e+18
2,ATLA_NASH_in,6.597616047658506e+18,6.256920654020488e+18,6.226567250274511e+18,6.342845932660406e+18,6.565827554513716e+18,6.84810578385794e+18,7.137879612645041e+18,7.389552797792187e+18,7.571911769490852e+18,7.671472492824113e+18,7.690977675905015e+18,7.644688760468706e+18,7.552632221780688e+18,7.435554663588711e+18,7.311519780442114e+18,7.194302911437667e+18,7.093212902507871e+18,7.013759699387106e+18,6.958621551981812e+18,6.92854472263163e+18,6.922999588142304e+18,6.940583743157323e+18,6.979251517525325e+18,7.036471746373815e+18
3,ATLA_NASH_out,4.437194895838739e+18,3.926081727469847e+18,3.753041895105614e+18,3.7100656911589647e+18,3.7387515288387543e+18,3.808712746438476e+18,3.8967228353584056e+18,3.984173398447298e+18,4.0580402411587953e+18,4.111470581968359e+18,4.143130080134381e+18,4.155615121496277e+18,4.1535772375811195e+18,4.142123673202764e+18,4.1257964180362066e+18,4.1081676231505843e+18,4.0919062189803223e+18,4.079101191239599e+18,4.0716327003699057e+18,4.071449724809377e+18,4.080687321481383e+18,4.1016276520847616e+18,4.136553594815157e+18,4.187559686357274e+18
4,CHIC_ECHI_in,2.0064515448096915e+19,2.1347172856534823e+19,2.195540510171856e+19,2.2682956407854825e+19,2.3712121259776246e+19,2.4911176099595768e+19,2.607641801075204e+19,2.7027408680454402e+19,2.76468466412686e+19,2.7891751302563365e+19,2.778514397785095e+19,2.7396282341796872e+19,2.6817465450146832e+19,2.6143708044331946e+19,2.54586322261647e+19,2.4827217077956588e+19,2.429413035430174e+19,2.3885590464930947e+19,2.361278789857463e+19,2.347542962019225e+19,2.3464729723370693e+19,2.3565685811985818e+19,2.375884074154709e+19,2.402181459300749e+19
5,CHIC_ECHI_out,1.495418439066042e+19,1.6520126172794229e+19,1.7079960945070504e+19,1.7644429032206709e+19,1.846219938524666e+19,1.944259925484178e+19,2.0412956060253225e+19,2.1214286979778257e+19,2.173998833951132e+19,2.1947412413296095e+19,2.185178592937621e+19,2.1509654982703546e+19,2.099891699547822e+19,2.040097092692597e+19,1.978808118267056e+19,1.921666046820692e+19,1.872549651785494e+19,1.8337188282784987e+19,1.8061072880591034e+19,1.7896377985862058e+19,1.7834934646136037e+19,1.7863274208910998e+19,1.7964254364018045e+19,1.8118430269326438e+19
6,HOUS_NASH_out,3.179923271822076e+18,2.8185524793138033e+18,2.7065233998540047e+18,2.691136085379622e+18,2.7275118611943296e+18,2.791721574294295e+18,2.865971316207838e+18,2.9364643344125783e+18,2.993891105411413e+18,3.033733745957713e+18,3.055699968677169e+18,3.062488772087324e+18,3.0583619975656417e+18,3.0479304790033715e+18,3.035368959039365e+18,3.0240744132994094e+18,3.0166626961377475e+18,3.0151469542828467e+18,3.021157863723853e+18,3.0361137614374543e+18,3.0613031279181573e+18,3.097884871398176e+18,3.1468365913038853e+18,3.2088918169979924e+18
7,ELPA_HOUS_in,7.028822179124934e+18,6.34995773830149e+18,6.121906282201973e+18,6.05411593195215e+18,6.069758680936107e+18,6.133718230108166e+18,6.220490752485114e+18,6.30937278754192e+18,6.385658298106438e+18,6.441734576395973e+18,6.476511784491001e+18,6.493510032870128e+18,6.49850140664751e+18,6.497510676644664e+18,6.49559395531671e+18,6.496431591666293e+18,6.502528894211414e+18,6.51572057516849e+18,6.537707430914174e+18,6.570443797939165e+18,6.616307321163394e+18,6.678060330626441e+18,6.758667982877805e+18,6.861058446078676e+18
8,EASH_ECHI_in,1.7964681288805173e+19,1.9720128119107305e+19,2.0329850854181585e+19,2.095910472784443e+19,2.1891651613506404e+19,2.3019356617969975e+19,2.4140173403115876e+19,2.5068510803102654e+19,2.567974256894436e+19,2.592349582001561e+19,2.581658085307216e+19,2.5423833289642283e+19,2.483499175707093e+19,2.4144017209790345e+19,2.34344441013735e+19,2.277156409646732e+19,2.2200338094141743e+19,2.174702114909908e+19,2.142252217400424e+19,2.1226041376166195e+19,2.114820056363808e+19,2.117347942253499e+19,2.1282102152330113e+19,2.145164122054625e+19
9,EASH_ECHI_out,1.0924757250045571e+19,1.1557763174449426e+19,1.184921207255092e+19,1.2211180561138078e+19,1.2735980643449096e+19,1.3353179327925352e+19,1.395571721300629e+19,1.4449090936199047e+19,1.4771785286231656e+19,1.490095278596702e+19,1.4848057451390626e+19,1.4648624406161836e+19,1.4350226735499086e+19,1.4001950947695274e+19,1.364707430925961e+19,1.3319285510587791e+19,1.3041792457711913e+19,1.2828259815011869e+19,1.2684557783852507e+19,1.2610591405377077e+19,1.260184349017226e+19,1.2650565221280911e+19,1.2746698276821459e+19,1.2878682468750533e+19
