,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.027172811,0.025568601,0.025722534,0.026358914,0.027099911,0.028008004,0.029127709,0.030303752,0.0314684,0.032565708,0.033553591,0.03446164,0.03530875,0.03610372,0.036847521,0.037556579,0.038254226,0.038920471,0.039539405,0.040117473,0.040660494,0.041182722,0.041699985,0.042205275,0.005647919
1,ELPA_SUNN_out,25.98159425,23.69125604,22.82202761,22.93023228,23.74623285,25.04510934,26.60714088,28.2392031,29.86256735,31.39441582,32.84143775,34.20635752,35.51626777,36.75768319,37.93491475,39.04724395,40.08899927,41.05329293,41.94546993,42.76964007,43.52244886,44.21956519,44.87089683,45.48863382,7.908844115
2,ATLA_NASH_in,18.29150335,17.26873348,17.23233574,17.66202361,18.28813133,19.01046433,19.79516487,20.62338744,21.4306476,22.18544206,22.86371461,23.45550693,23.97712364,24.44206477,24.85378603,25.21939982,25.55320902,25.85958971,26.14378155,26.41154623,26.66792104,26.91858532,27.1670804,27.41990808,3.532755904
3,ATLA_NASH_out,25.75683538,24.4619524,24.35628378,24.50638624,24.81212523,25.42524119,26.36860546,27.5331292,28.8193927,30.04626523,31.1247021,32.07173731,32.91622683,33.67775546,34.39422331,35.0787945,35.73723581,36.36346024,36.95682157,37.53297928,38.09720537,38.65782889,39.20833561,39.75511004,5.403374453
4,CHIC_ECHI_in,22.00802907,20.94993796,20.71546674,21.01956479,21.58179217,22.1640634,22.65340381,23.05184027,23.38875708,23.70541645,24.01600765,24.3252302,24.6405631,24.96509465,25.28876889,25.60363907,25.9086505,26.19995867,26.47680444,26.74154629,26.99979605,27.2593157,27.51357876,27.76462109,2.24533176
5,CHIC_ECHI_out,16.42596599,15.3740186,15.16669677,15.75527022,16.67606623,17.55248381,18.20817405,18.6772285,19.04348685,19.38880719,19.75376961,20.15848658,20.60616107,21.08165173,21.57015636,22.0643757,22.55540675,23.03031128,23.49551597,23.94345186,24.37198451,24.78976,25.19776581,25.59668499,3.273665848
6,HOUS_NASH_out,37.00962125,34.91491726,34.43152183,34.67827826,35.54603363,37.02853787,38.94138424,41.04413351,43.13065023,45.0857829,46.87002702,48.50593608,50.03614524,51.49552786,52.87225856,54.18923484,55.42851798,56.5703086,57.63026313,58.59471828,59.47213311,60.2890344,61.04895643,61.76101653,9.660913554
7,ELPA_HOUS_in,30.66169977,27.95327783,27.01882415,27.07196885,27.91269492,29.36450545,31.12923718,33.05458624,34.97982131,36.76760722,38.44729063,40.02101019,41.48765791,42.88949435,44.22895016,45.49902538,46.68513869,47.79997051,48.85348495,49.83237444,50.73600821,51.57812373,52.37316467,53.12775159,9.10373175
8,EASH_ECHI_in,13.03777986,12.14727861,11.9291442,12.46250414,13.277847,14.00699726,14.50852506,14.83494624,15.07801267,15.31566697,15.59156756,15.92533539,16.31544185,16.75286554,17.2209521,17.70241416,18.18542554,18.66674147,19.13969999,19.6026001,20.05468633,20.49885528,20.93455576,21.36318068,2.904954494
9,EASH_ECHI_out,14.93712298,14.0949012,13.89358108,14.19725936,14.70255068,15.16527504,15.4977712,15.74367304,15.94362417,16.13718829,16.35188584,16.59385874,16.86346136,17.16121853,17.47751563,17.80270961,18.12903597,18.45347559,18.77102222,19.07961316,19.38414614,19.68589565,19.98536712,20.28790171,1.971502237
10,EASH_WASH_in,18.82417967,17.82284308,17.60806894,17.97454945,18.59044672,19.1810108,19.6316924,19.97351999,20.2630732,20.53650945,20.81506952,21.11105872,21.42502856,21.75444704,22.09025606,22.42230132,22.74299856,23.05065103,23.34931025,23.63990214,23.92555581,24.2104622,24.49279428,24.77555522,2.243230849
11,EASH_WASH_out,14.69420574,13.77934522,13.5513019,14.05876548,14.85356809,15.57042274,16.07012581,16.40019781,16.64969494,16.88909169,17.16451299,17.49246592,17.87452173,18.29676149,18.74165528,19.19904974,19.65677878,20.11171322,20.56358537,21.00449123,21.43657285,21.86167303,22.27797071,22.68819372,2.813106346
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,4.255588269
