,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,755732554394548.2,718516173739661.2,716838255021109.1,726712583683541.8,739471241802135.8,753339935943323.8,767821511896410.0,782411361955460.5,796649950091579.8,810237182181086.4,823046235406991.8,835130422995946.6,846597403559782.2,857496580273693.8,867801174081225.9,877416519741285.6,886259765649069.4,894273524863085.4,901491560074549.8,908000919247263.1,913935985587055.5,919452315208363.1,924718195889943.6,929889981048881.6
1,ELPA_SUNN_out,2452116565.347672,2381832253.792725,2385454950.8995266,2412352349.186016,2440855547.1643724,2470397068.603215,2503438449.9312835,2539840685.5114937,2577729481.2698426,2615028825.581335,2650301508.6309657,2682922971.0332837,2712834127.1874533,2740191613.2945414,2765147483.973559,2787807082.8286214,2808287466.162304,2826783871.996094,2843596239.1953464,2859112505.2090487,2873767396.8680124,2887995412.505947,2902191020.790966,2916680661.9509053
2,ATLA_NASH_in,2629097738.970401,2512300670.9192004,2501950547.1599216,2551532377.2291584,2614012149.3063264,2669874569.439878,2715964504.044488,2755796909.2537313,2793531427.219015,2831700065.556017,2871105511.6460924,2911414578.709405,2951706012.8134446,2990840094.878928,3027723782.549505,3061512395.745391,3091733725.3644447,3118319470.4614344,3141555971.648081,3161987043.1933413,3180302923.673591,3197239497.917543,3213500079.2230997,3229702079.6760964
3,ATLA_NASH_out,2064555013.5625665,1992349777.3762646,1987210136.5278761,2006748912.954374,2029917012.9660754,2054911690.2079322,2083783218.9142244,2116673154.683009,2151719198.4345355,2186508991.6049957,2219286456.695323,2249350951.726271,2276797444.035455,2302044579.6186514,2325496294.0654726,2347430424.383852,2368039123.00929,2387511646.4261165,2406089593.7036304,2424077999.8827305,2441822184.778602,2459669469.121526,2477930718.8387284,2496849612.88586
4,CHIC_ECHI_in,4511493454.983476,4241228667.5930095,4181168713.6737137,4330701715.063445,4550941741.779079,4754301193.288199,4908542960.735172,5020436211.7150755,5110303796.939672,5196148329.83282,5288364097.919053,5390221040.33515,5500213230.558361,5614446886.865404,5728492084.045238,5838580663.630457,5942190650.613183,6038148699.363593,6126428679.459604,6207820699.090916,6283591725.08298,6355203348.513037,6424108625.078504,6491622370.927694
5,CHIC_ECHI_out,3839565875.3475213,3579143320.5221176,3518557049.6495094,3677754624.105313,3897599803.6145554,4088110859.3472743,4221948491.962467,4310461977.365715,4376694147.008413,4440276539.307524,4512878777.981814,4598955225.377764,4698043287.44583,4806994057.760675,4921702859.172338,5038287361.542645,5153745271.016764,5266176422.586184,5374705654.142784,5479247120.010999,5580228908.008843,5678346452.723917,5774375731.170259,5869051942.915833
6,HOUS_NASH_out,1848438968.8194292,1760182364.7799025,1752171756.0701358,1771428050.6211689,1798443627.7019842,1828295283.900854,1859365662.3173103,1890527186.5369923,1920949034.9479773,1950115346.1011426,1977805629.2326343,2004003642.6946094,2028726374.61635,2051881523.6724737,2073247365.2102127,2092562502.6567824,2109645853.5414355,2124477321.9187248,2137216825.9666355,2148174429.3557057,2157756638.9456058,2166409519.1426167,2174571888.214583,2182639966.2297344
7,ELPA_HOUS_in,2494778722.408342,2420725795.682982,2422822473.852432,2447131942.6194634,2473351689.044842,2501895360.013201,2535018942.0381327,2571960039.634125,2610363491.811287,2647932237.395892,2683212655.192303,2715682590.5437655,2745420351.5993867,2772692633.383449,2797707899.872629,2820578166.473853,2841397096.029059,2860326105.685647,2877633337.9432354,2893682377.901417,2908891488.5784564,2923685175.794839,2938452570.913569,2953517717.926461
8,EASH_ECHI_in,4207297231.9775443,3922554225.5026793,3854948483.496992,4022629546.53331,4255175974.1492944,4456817951.610219,4598463934.67676,4692111011.578454,4762173159.093202,4829457056.727945,4906347895.784091,4997605605.8534975,5102792689.607053,5218622442.258971,5340779199.079292,5465161154.349501,5588578937.845244,5708998006.916831,5825462995.03231,5937854049.192328,6046597678.097361,6152405833.425264,6256078835.704958,6358375538.512113
9,EASH_ECHI_out,3330934528.1516013,3129068405.2445498,3081929228.8163843,3187181185.9666433,3344605335.838352,3491162006.8249826,3603155819.696858,3684874271.762577,3750564830.6202545,3813043906.421868,3879811825.0596843,3953314278.676616,4032575585.35863,4114888657.335143,4197137985.39052,4276660680.5542097,4351670290.510122,4421334188.5644,4485633455.577206,4545129168.84183,4600719547.5039835,4653439714.726088,4704315600.101643,4754272179.278083
10,EASH_WASH_in,3990051040.252215,3750252820.884647,3693102205.0309634,3815789881.727296,4000006379.2384024,4171247606.457049,4301603979.344649,4396325072.502852,4472419896.421608,4545128916.265972,4623328221.277907,4709864361.294982,4803513389.063232,4900997397.17235,4998560286.051161,5092990241.670422,5182123431.780247,5264935974.621388,5341378470.8736105,5412096060.625178,5478141390.66914,5540733952.749819,5601087583.2553625,5660299542.736171
11,EASH_WASH_out,3751264873.601124,3494167337.8826685,3432753012.7561874,3585579754.919533,3797878165.1663346,3981939252.726958,4111048944.307854,4196162928.9171443,4259620648.249328,4320458426.578146,4389995701.600953,4472564710.537609,4567738007.826385,4672483466.312355,4782837374.685887,4895044051.2048435,5006194808.027093,5114445716.7552185,5218944793.199938,5319606018.519437,5416841965.732488,5511324881.991259,5603806175.989649,5694997176.448963
