,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,5.711316937717088e+29,5.162654919254831e+29,5.138570838617086e+29,5.2811117928400865e+29,5.468177174523928e+29,5.675210590870911e+29,5.895498741308888e+29,6.121675393169987e+29,6.346511429809165e+29,6.56484291388747e+29,6.774051056176214e+29,6.974428234133888e+29,7.167271637141648e+29,7.353003851810793e+29,7.530788777367542e+29,7.698597491149098e+29,7.854563722083435e+29,7.997251372710473e+29,8.126870328856456e+29,8.244656693538748e+29,8.352789857509826e+29,8.45392559942019e+29,8.551037418099522e+29,8.646953768550893e+29
1,ELPA_SUNN_out,6.012875650052463e+18,5.673124885207332e+18,5.690395322771063e+18,5.819443856623291e+18,5.957775802123088e+18,6.102861676563359e+18,6.267204072594347e+18,6.450790707779494e+18,6.644689278607692e+18,6.838375758621296e+18,7.024098086651573e+18,7.198075668498062e+18,7.359469001632911e+18,7.508650077569741e+18,7.646040608125303e+18,7.771868331069428e+18,7.886478492604293e+18,7.990707058977231e+18,8.086039571565916e+18,8.174524317442762e+18,8.258539051301551e+18,8.340517502655396e+18,8.422712721159709e+18,8.50702608379837e+18
2,ATLA_NASH_in,6.912154921059274e+18,6.311654661101065e+18,6.259756540433831e+18,6.51031747204868e+18,6.83305951672108e+18,7.128230216541773e+18,7.376463187229622e+18,7.594416605052417e+18,7.803817834860307e+18,8.01852526126995e+18,8.24324685900457e+18,8.476334849121661e+18,8.712568386079043e+18,8.945124473135396e+18,9.167111303415884e+18,9.372858149302684e+18,9.558817428555907e+18,9.72391631985888e+18,9.869373922997717e+18,9.998162061322568e+18,1.011432668632679e+19,1.0222340407044022e+19,1.0326582759166867e+19,1.0430975523464102e+19
3,ATLA_NASH_out,4.262387404026329e+18,3.9694576354112507e+18,3.94900412671914e+18,4.0270411996435625e+18,4.1205630795291136e+18,4.2226620545532206e+18,4.342152503428526e+18,4.4803052437557207e+18,4.629895508911759e+18,4.780821570369496e+18,4.925232376871283e+18,5.059579704031882e+18,5.183806601166381e+18,5.299409246551612e+18,5.407933013712248e+18,5.510429597322951e+18,5.607609288102609e+18,5.700211861820344e+18,5.789267132928901e+18,5.87615414951546e+18,5.962495582076945e+18,6.049973897328567e+18,6.140140647364617e+18,6.234257989368269e+18
4,CHIC_ECHI_in,2.0353573194358735e+19,1.7988020610812776e+19,1.7482171812203899e+19,1.8754977344853467e+19,2.07110707370672e+19,2.26033798365016e+19,2.4093793997382808e+19,2.520477975590002e+19,2.611520489701603e+19,2.69999574656244e+19,2.7966794832159195e+19,2.9054482863671747e+19,3.0252345581609243e+19,3.1522013845432623e+19,3.2815621556968948e+19,3.408902416571947e+19,3.530962972823472e+19,3.645923971562625e+19,3.7533128364505145e+19,3.8537037832061624e+19,3.94835249675313e+19,4.038860960095131e+19,4.126917162680802e+19,4.21411610067289e+19
5,CHIC_ECHI_out,1.4742266111133176e+19,1.2810266908838089e+19,1.2380243711638262e+19,1.352587907512801e+19,1.519128422913622e+19,1.671265039831311e+19,1.782484906878415e+19,1.8580082458315547e+19,1.9155451656457703e+19,1.9716055745524797e+19,2.0366074864758632e+19,2.115038916502944e+19,2.2071610730714825e+19,2.3107191871346446e+19,2.4223159033985163e+19,2.538433953748035e+19,2.6561090318527656e+19,2.7732614113802613e+19,2.888746086867441e+19,3.0022149002148823e+19,3.113895466577757e+19,3.224361843716229e+19,3.334341508472807e+19,3.4445770708644123e+19
6,HOUS_NASH_out,3.4167266214502344e+18,3.09824195728217e+18,3.0701058627699036e+18,3.1379573385275146e+18,3.2343994820218726e+18,3.3426636451341046e+18,3.4572406662046904e+18,3.5740930430354755e+18,3.6900451948675656e+18,3.8029498630991795e+18,3.9117151070242964e+18,4.0160305999332634e+18,4.1157307030639985e+18,4.210217787188472e+18,4.298354637351089e+18,4.378817827525217e+18,4.4506056273645716e+18,4.513403891346957e+18,4.5676957611948995e+18,4.614653378937712e+18,4.655913712913838e+18,4.693330204631745e+18,4.728762897013136e+18,4.763917222183336e+18
7,ELPA_HOUS_in,6.223920873781399e+18,5.859913377885007e+18,5.870068739804417e+18,5.988454744588508e+18,6.11746857770097e+18,6.259480392455586e+18,6.426321036492132e+18,6.61497844547477e+18,6.813997559381215e+18,7.011545133840415e+18,7.199630152984129e+18,7.374931932582498e+18,7.5373329069761e+18,7.687824439218847e+18,7.827169493009717e+18,7.955661193189002e+18,8.07353745732237e+18,8.181465430866819e+18,8.280773627642328e+18,8.373397704177199e+18,8.461649692324189e+18,8.547935007162499e+18,8.634503511508562e+18,8.723266910105532e+18
8,EASH_ECHI_in,1.7701349998205905e+19,1.5386431652008925e+19,1.486062781041576e+19,1.6181548468642783e+19,1.8106522570977395e+19,1.986322625379511e+19,2.1145870558522868e+19,2.201590574497578e+19,2.2678293197187727e+19,2.332365546277935e+19,2.4072249674464973e+19,2.4976061791658303e+19,2.603849323310718e+19,2.723402019484899e+19,2.852392245331805e+19,2.986798644301077e+19,3.1232214544527483e+19,3.2592658242980348e+19,3.393601910649081e+19,3.5258110709509734e+19,3.656134348077239e+19,3.785209753916522e+19,3.91385223985555e+19,4.04289394887492e+19
9,EASH_ECHI_out,1.109512483083253e+19,9.79106908469967e+18,9.498287771432753e+18,1.0158123912179739e+19,1.1186384852518377e+19,1.218821215789824e+19,1.2982731861015337e+19,1.3578298398697781e+19,1.406673654868554e+19,1.453930383230094e+19,1.505293979787296e+19,1.5628693785988413e+19,1.62616658516305e+19,1.6932308662265416e+19,1.7615967268407994e+19,1.8289826576598397e+19,1.8937034317308453e+19,1.954819600696842e+19,2.0120907497793503e+19,2.0658199161456824e+19,2.1166620354785255e+19,2.1654501178590007e+19,2.2130585265359675e+19,2.260310395465757e+19
