,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,ELPA_SUNN_in,4.8585951749668314e+29,3.8843616895182666e+29,3.798073339745087e+29,4.263311775441441e+29,4.908196111891331e+29,5.531175252354973e+29,6.046093015052999e+29,6.434838223591377e+29,6.70957141033205e+29,6.891977018518201e+29,7.004922787202164e+29,7.068725404757968e+29,7.101200321957584e+29,7.11721959580303e+29,7.128791230387769e+29,7.144992962764475e+29,7.172084089680926e+29,7.213500744337246e+29,7.27075774638936e+29,7.343737429401463e+29,7.431299221168727e+29,7.531690145482606e+29,7.643086791381622e+29,7.763447235012553e+29
1,ELPA_SUNN_out,3.1379459215601874e+18,2.546553895756219e+18,2.5327541991984563e+18,2.877255039732101e+18,3.314929827638459e+18,3.7207088054826783e+18,4.055145200112659e+18,4.3164094642326646e+18,4.5130546291540623e+18,4.654797188137371e+18,4.750888168336342e+18,4.810565567124374e+18,4.843443089195333e+18,4.859227179238486e+18,4.866942047033515e+18,4.874114673060671e+18,4.88627172442847e+18,4.906851141035071e+18,4.937459781180287e+18,4.978315898423086e+18,5.028737956273951e+18,5.087579786758348e+18,5.153558893601123e+18,5.22546987324317e+18
2,ATLA_NASH_in,5.444727706536976e+18,4.1670423684508303e+18,4.073786930437272e+18,4.504346161795422e+18,5.086727254714388e+18,5.637309059706268e+18,6.090580405468691e+18,6.439847962271953e+18,6.700445870640511e+18,6.892669239907211e+18,7.034851725573188e+18,7.141494048332695e+18,7.223718557532354e+18,7.290271753702874e+18,7.348229560986287e+18,7.403284303977723e+18,7.459822369670751e+18,7.520998850473442e+18,7.58888697891929e+18,7.664691167000845e+18,7.748978481302322e+18,7.841876637258583e+18,7.943221683481868e+18,8.052651989403733e+18
3,ATLA_NASH_out,3.0296173577548314e+18,2.4502074482343813e+18,2.2932963002661233e+18,2.379282956685396e+18,2.552030422485693e+18,2.7366069524937267e+18,2.8997266212523674e+18,3.030398519110395e+18,3.128518571520179e+18,3.1991470680684744e+18,3.249348191743449e+18,3.2863683019951565e+18,3.316667689968967e+18,3.345451475999039e+18,3.3764778344052756e+18,3.412058704419973e+18,3.4532185721283476e+18,3.4999743250883727e+18,3.5516677209477606e+18,3.6072887331803837e+18,3.665742408943787e+18,3.7260362156785997e+18,3.787386550056168e+18,3.849255435421826e+18
4,CHIC_ECHI_in,1.9679952452548526e+19,1.516616317926436e+19,1.4798614739881513e+19,1.6151868785659107e+19,1.801787311776623e+19,1.978152241813332e+19,2.12431064961759e+19,2.2405873128572146e+19,2.333109405576588e+19,2.407737398799699e+19,2.4686147830151434e+19,2.518495707111339e+19,2.5594665335871926e+19,2.593494603292686e+19,2.6226627642001908e+19,2.6491569100244484e+19,2.675136232208389e+19,2.7025836196839154e+19,2.733190831906714e+19,2.768293349465243e+19,2.808843963295158e+19,2.8554217380733755e+19,2.9082575586604843e+19,2.9672750847362662e+19
5,CHIC_ECHI_out,1.2289355572450855e+19,9.109902936530635e+18,8.783987299445415e+18,9.5250048527678e+18,1.0589202058704673e+19,1.1602975360768698e+19,1.2454741803495186e+19,1.3154727546089443e+19,1.3741269355938435e+19,1.4245705960992743e+19,1.4686992876803553e+19,1.5076155738570222e+19,1.5421938616027853e+19,1.5734494889972089e+19,1.602658348390457e+19,1.6312989203789103e+19,1.6609154464850751e+19,1.6929788408089694e+19,1.7287792450541326e+19,1.7693616706846878e+19,1.8154945911721665e+19,1.867663738984751e+19,1.9260816081738162e+19,1.9907087574596874e+19
6,HOUS_NASH_out,2.972444703689587e+18,2.3961909686113946e+18,2.333407359737796e+18,2.582267324872179e+18,2.9340560891496525e+18,3.2732381411322506e+18,3.549789872005405e+18,3.7537455375333893e+18,3.8935772537385605e+18,3.9835034808308244e+18,4.0376096698215306e+18,4.0678544995549553e+18,4.083809021626816e+18,4.0929044138322693e+18,4.100706680331144e+18,4.11114189247226e+18,4.126718886147599e+18,4.148779245381398e+18,4.177766800731393e+18,4.2134934986439747e+18,4.2553741319283855e+18,4.30261648303391e+18,4.3543602880646134e+18,4.409774477295756e+18
7,ELPA_HOUS_in,3.398416629544596e+18,2.774298525648858e+18,2.7419066889615063e+18,3.088198684912255e+18,3.535597156660214e+18,3.952241372349975e+18,4.2947042156737623e+18,4.5594594800296335e+18,4.754988545762717e+18,4.891945538376826e+18,4.981044553349966e+18,5.033116376382882e+18,5.059183646034616e+18,5.069973244567732e+18,5.075068459398257e+18,5.082126280834757e+18,5.096471246205683e+18,5.121127067815499e+18,5.157179768807442e+18,5.204304863687167e+18,5.261317324162382e+18,5.326641602878166e+18,5.398659215587964e+18,5.47592885135199e+18
8,EASH_ECHI_in,1.4764517139274256e+19,1.0988658728213131e+19,1.0578820769456861e+19,1.1428414421873201e+19,1.2663537569792715e+19,1.3844447934565093e+19,1.4837144221006328e+19,1.5650737520313494e+19,1.6328662158522118e+19,1.690750417025713e+19,1.7410154456025127e+19,1.7850488441195592e+19,1.8239618476282034e+19,1.859004046989973e+19,1.891699755814367e+19,1.9237840475446034e+19,1.957051498462519e+19,1.9932007164675613e+19,2.0337165324282032e+19,2.079799379899856e+19,2.132331176526778e+19,2.1918698049568735e+19,2.258660021502278e+19,2.332656956348291e+19
9,EASH_ECHI_out,1.0708938920070566e+19,8.295392826269329e+18,8.088109347295757e+18,8.798357806678221e+18,9.783159488769483e+18,1.0715263841212983e+19,1.1487199907484162e+19,1.2099315833416964e+19,1.2583414322487298e+19,1.297062351062152e+19,1.3283501964601477e+19,1.3537472311325346e+19,1.374438326531465e+19,1.3915228929727134e+19,1.4061316014057181e+19,1.419420867113466e+19,1.4325106224342761e+19,1.446414235801424e+19,1.461986743174265e+19,1.4798958710592946e+19,1.5006140700712735e+19,1.5244243073802654e+19,1.5514351517646248e+19,1.5816013828654088e+19
