,sites,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,SDEV
0,ELPA_SUNN_in,0.825465438,0.860462677,0.8635624,0.846849711,0.823683631,0.801304448,0.782807137,0.768842303,0.758973105,0.752420577,0.748363244,0.746071272,0.744904681,0.744329223,0.743913537,0.743331524,0.742358334,0.74087053,0.738813696,0.736192058,0.733046589,0.729440261,0.725438577,0.721114887,0.044269732
1,ELPA_SUNN_out,0.765116053,0.809383385,0.81041633,0.784629488,0.751868317,0.721494636,0.696461145,0.676904791,0.662185356,0.651575532,0.644382856,0.639915837,0.637454864,0.636273381,0.635695902,0.635159011,0.634249022,0.632708595,0.630417454,0.62735926,0.62358503,0.619180556,0.614241837,0.608859101,0.064410093
2,ATLA_NASH_in,0.8321182,0.87151413,0.874389552,0.861113763,0.843156724,0.826180179,0.812204088,0.801434832,0.793399601,0.787472619,0.783088588,0.779800397,0.777265101,0.775213011,0.77342595,0.771728401,0.769985116,0.768098811,0.76600556,0.763668227,0.761069326,0.758204921,0.755080065,0.751705909,0.037765439
3,ATLA_NASH_out,0.700979113,0.758166423,0.773653431,0.765166615,0.748116574,0.729899013,0.713799228,0.700902013,0.69121764,0.684246662,0.67929185,0.675637994,0.672647468,0.669806531,0.666744253,0.663232449,0.659170002,0.654555245,0.649453147,0.643963396,0.638194064,0.632243112,0.626187881,0.62008147,0.04447486
4,CHIC_ECHI_in,0.792861028,0.840370374,0.844238961,0.829995448,0.810355044,0.791791965,0.776408238,0.764169677,0.754431376,0.746576496,0.74016892,0.734918764,0.730606429,0.727024845,0.723954785,0.721166176,0.718431754,0.715542812,0.712321286,0.708626613,0.704358507,0.699456019,0.693894849,0.68768303,0.047221014
5,CHIC_ECHI_out,0.683244072,0.765193892,0.773594309,0.754494715,0.727065223,0.700935399,0.678981272,0.660939266,0.645821256,0.632819493,0.621445403,0.6114148,0.602502308,0.594446227,0.586917696,0.57953564,0.571902034,0.563637751,0.554410262,0.543950215,0.532059537,0.518613033,0.503555933,0.486898401,0.083244652
6,HOUS_NASH_out,0.785978805,0.827470077,0.831990607,0.814072256,0.788742852,0.764321154,0.744408947,0.729723784,0.719655657,0.713180812,0.709285073,0.707107392,0.705958639,0.705303755,0.704741978,0.703990624,0.702869054,0.70128067,0.699193515,0.696621131,0.693605652,0.69020412,0.686478476,0.682488558,0.046374889
7,ELPA_HOUS_in,0.754712451,0.799759429,0.802097375,0.777103054,0.744811171,0.714739037,0.690021093,0.67091185,0.656799147,0.646914001,0.6404831,0.636724712,0.634843254,0.634064493,0.633696736,0.633187323,0.632151947,0.630372363,0.627770187,0.624368839,0.62025385,0.615538939,0.610340923,0.604763831,0.062158831
8,EASH_ECHI_in,0.686107243,0.766381769,0.775094899,0.757032589,0.730773944,0.70566786,0.684563196,0.667266251,0.652853613,0.640547467,0.629861151,0.620499677,0.612226796,0.604776845,0.597825757,0.591004655,0.583932015,0.576246713,0.567633074,0.557835888,0.54666766,0.534009783,0.519810222,0.504078518,0.078485564
9,EASH_ECHI_out,0.796052831,0.842017786,0.845965411,0.832439032,0.813683905,0.795932375,0.781231183,0.769573696,0.760354247,0.752980014,0.747021377,0.74218462,0.738244089,0.734990407,0.732208241,0.729677357,0.727184469,0.724536585,0.721570867,0.71816015,0.714214458,0.7096799,0.7045358,0.69879077,0.044352222
10,EASH_WASH_in,0.785676835,0.833972834,0.838420311,0.824758094,0.805630612,0.787489694,0.772463373,0.760552361,0.751131614,0.743585549,0.737467145,0.732472101,0.728369558,0.724947924,0.721990991,0.719277714,0.716593607,0.713744196,0.710565039,0.706927264,0.702739615,0.697947292,0.692529238,0.686494299,0.045609326
11,EASH_WASH_out,0.666624726,0.754289525,0.76371105,0.743674812,0.714602811,0.686765054,0.663250179,0.64380978,0.627424758,0.613265027,0.600836295,0.589856977,0.58010293,0.571306003,0.563121608,0.555145463,0.546951912,0.53813323,0.528329489,0.517247328,0.504668796,0.490453799,0.474537624,0.456925437,0.089398317
,,,,,,,,,,,,,,,,,,,,,,,,,AVE,0.057313745
